locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
new_2415356_2415414_c,0.17559228600000001,S878,3'UTR of resE,No COG category,,"ResD,SigA,PhoP,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2415356_2415414_c
new_3106996_3107052,0.113634977,S1160,3'UTR of ytvA,No COG category,,Spx,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3106996_3107052
new_3355486_3355592_c,0.113111763,S1257,3'UTR of sufB,No COG category,,SigA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3355486_3355592_c
new_507683_507752_c,0.098127345,S154,3'UTR of ydbP,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_507683_507752_c
new_2079086_2079196,0.08423200300000001,S728,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2079086_2079196
BSU14420,0.079650793,ykoA,unknown,No COG category,ykoA,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU14420
BSU23650,0.077315749,yqkC,unknown,Function unknown,"yqkB->yqkC, yqjY->yqkC, polY2->yqkC",LexA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23650
new_3615385_3615449_c,0.076455907,S1343,5'UTR of csbA,No COG category,,"SigA,SigB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3615385_3615449_c
BSU27809,0.076224699,yrzT,unknown,No COG category,yrzH->yrzT,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27809
new_1917432_1917610,0.07537632799999999,S659,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1917432_1917610
new_2071199_2071285_c,0.074082643,S721,3'UTR of yobK,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2071199_2071285_c
new_2273515_2273748,0.072314395,bsrG,hydrophobic class I toxin,No COG category,bsrG,SigA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2273515_2273748
BSU08120,0.07183353,yfjF,unknown,Function unknown,yfjA->yfjF,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08120
new_834310_834382,0.071552342,S262,5'UTR of citM,No COG category,,"SigA,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_834310_834382
new_952948_953024,0.071070029,S306,3' of trnD-Leu1,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_952948_953024
BSU03780,0.07052557,phrC,phosphatase (RapC) regulator / competence and sporulation stimulating factor (CSF),No COG category,"rapC->phrC, phrC","SigA,ComA,CodY,SigH,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03780
new_3991968_3992056_c,0.070447937,S1494,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3991968_3992056_c
new_1907202_1907287,0.069941911,S649,3'UTR of ynzB,No COG category,,SigE,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1907202_1907287
BSU_misc_RNA_1,-0.09931700199999999,BSU_misc_RNA_1,,No COG category,,Spo0A,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_1
