locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
b3065,0.14936142575300002,rpsU,30S ribosomal subunit protein S21,"Translation, ribosomal structure and biogenesis",rpsU-dnaG-rpoD,"arcA,crp,lexA,rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=EG10920
b0762,0.14122918617,acrZ,small membrane protein that interacts with the AcrAB-TolC multidrug efflux pump,No COG Annotation,acrZ,"marA,rob,rpoD,soxS",https://ecocyc.org/gene?orgid=ECOLI&id=G6396
b0528,0.14060236353299999,ybcJ,putative RNA-binding protein,Function unknown,folD-ybcJ,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12879
b3100,0.10884466584000001,yqjK,conserved protein,Function unknown,yqjCDEK,,https://ecocyc.org/gene?orgid=ECOLI&id=G7614
b4428,0.0924562975557,hokB,toxin HokB,Function unknown,hokB,crp,https://ecocyc.org/gene?orgid=ECOLI&id=G0-9610
b2145,0.086289901555,yeiS,predicted inner membrane protein,Function unknown,sanA-yeiS,,https://ecocyc.org/gene?orgid=ECOLI&id=G7144
b3042,0.08482529579510001,yqiC,conserved protein,Function unknown,ubiK,,https://ecocyc.org/gene?orgid=ECOLI&id=G7582
b2343,0.08432065742339999,yfcZ,conserved protein,Function unknown,yfcZ,"arcA,fnr,lrp",https://ecocyc.org/gene?orgid=ECOLI&id=G7214
b2092_2,0.07825801238739999,gatC_2,,Carbohydrate transport and metabolism,gatYZABCD,rpoD,
b1887,0.07446459400239999,cheW,CheW,Cell motility,motAB-cheAW,"cpxR,fliA",https://ecocyc.org/gene?orgid=ECOLI&id=EG10149
