locus,gene_weight,gene_name,gene_product,COG,operon,regulator,purR,link
b3654,0.257897336918,xanP,xanthine:H<sup>+</sup> symporter XanP,Nucleotide transport and metabolism,xanP,purR,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11194
b1849,0.231331506855,purT,phosphoribosylglycinamide formyltransferase 2,Nucleotide transport and metabolism,purT,purR,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11809
b2499,0.213581022865,purM,phosphoribosylformylglycinamide cyclo-ligase,Nucleotide transport and metabolism,purMN,"fnr,lrp,purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10798
b0523,0.213149655044,purE,<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase,Nucleotide transport and metabolism,purEK,"purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10793
b2557,0.196330902201,purL,phosphoribosylformylglycinamide synthetase,Nucleotide transport and metabolism,purL,"purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10797
b0522,0.191309786151,purK,<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase,Nucleotide transport and metabolism,purEK,"purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10796
b4006,0.18628210132599998,purH,AICAR transformylase/IMP cyclohydrolase,Nucleotide transport and metabolism,purHD,"phoP,purR,rbsR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10795
b2476,0.176420591159,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,purC,"purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10791
b4005,0.17627991841600002,purD,phosphoribosylamine-glycine ligase,Nucleotide transport and metabolism,purHD,"phoP,purR,rbsR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10792
b2313,0.158808118434,cvpA,membrane protein required for colicin V production,Function unknown,cvpA-purF-ubiX,"argR,purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10169
b4064,0.155569749802,ghxP,guanine / hypoxanthine transporter GhxP,Function unknown,ghxP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11939
b2312,0.153919032926,purF,amidophosphoribosyl transferase,Nucleotide transport and metabolism,cvpA-purF-ubiX,"argR,purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10794
b2500,0.12489877258300001,purN,phosphoribosylglycinamide formyltransferase 1,Nucleotide transport and metabolism,purMN,"fnr,lrp,purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10799
b1131,0.0899509537665,purB,adenylosuccinate lyase,Nucleotide transport and metabolism,hflD-purB,"purR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11314
b1623,-0.125582312473,add,adenosine deaminase,Nucleotide transport and metabolism,add,"rbsR,rpoD",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10030
b1660,-0.158401318795,ydhC,"putative transport protein, major facilitator superfamily (MFS)",Inorganic ion transport and metabolism,ydhC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12141
