locus,gene_weight,gene_name,gene_product,cog,operon,regulator,old_locus_tag,synonyms,link
SACI_RS10030,0.20017981502659168,Saci_2075,hypothetical protein,No COG annotation,Op1233,,Saci_2075,,https://www.uniprot.org/uniprot/A0A0U2NH07
SACI_RS10070,0.1801885882449344,yecD,cysteine hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1241,,Saci_2083,,https://www.uniprot.org/uniprot/A0A0U3GQI8
SACI_RS09920,0.17979236749473532,Saci_2052,hypothetical protein,No COG annotation,Op1217,,Saci_2052,,https://www.uniprot.org/uniprot/A0A0U3H4K8
SACI_RS10065,0.1731326843612314,Saci_2082,DUF973 family protein,Function unknown,Op1240,,Saci_2082,,https://www.uniprot.org/uniprot/A0A0U3H4Z8
SACI_RS10025,0.16399679342170306,Saci_2074,HD domain-containing protein,Function unknown,Op1233,,Saci_2074,,https://www.uniprot.org/uniprot/A0A0U3FHQ7
SACI_RS09915,0.16324166158856368,SACI_RS09915,CRISPR-associated RAMP protein,Defense mechanisms,Op1217,,,,
SACI_RS10040,0.15951561460676025,Saci_2077,hypothetical protein,No COG annotation,Op1236,,Saci_2077,,https://www.uniprot.org/uniprot/M1J4W4
SACI_RS10075,0.15628689963035805,ribZ_2,MFS transporter,Carbohydrate transport and metabolism,Op1242,,Saci_2084,,https://www.uniprot.org/uniprot/A0A0U2W6A3
SACI_RS10060,0.14405069282536526,cyp119,cytochrome P450,Energy production and conversion,Op1239,,Saci_2081,yjiB,https://www.uniprot.org/uniprot/A0A0U3HD14
SACI_RS10035,0.1415245930551805,ydjE_3,MFS transporter,Function unknown,Op1234,,Saci_2076,,https://www.uniprot.org/uniprot/A0A0U3GM52
SACI_RS11755,0.13420279276302746,soxL,hypothetical protein,No COG annotation,Op1243,,Saci_2085,,https://www.uniprot.org/uniprot/UPI0002B27972
SACI_RS11960,0.12853676523626198,SACI_RS11960,hypothetical protein,No COG annotation,Op1235,,,,https://www.uniprot.org/uniprot/UPI0002B296FE
SACI_RS09840,0.12713962561441833,Saci_2035,DUF917 domain-containing protein,Function unknown,Op1212,,Saci_2035,,https://www.uniprot.org/uniprot/A0A0U2NAZ5
SACI_RS09990,0.12551623199272785,Saci_2066,hypothetical protein,No COG annotation,Op1229,,Saci_2066,,https://www.uniprot.org/uniprot/A0A0U3GQK4
SACI_RS09865,0.12505168701771935,Saci_2040,Lrp/AsnC family transcriptional regulator,Transcription,Op1214,,Saci_2040,,https://www.uniprot.org/uniprot/A0A0U3GNH8
SACI_RS10020,0.12218902091644784,Saci_2073,MFS transporter,Carbohydrate transport and metabolism,Op1232,BarR,Saci_2073,,https://www.uniprot.org/uniprot/A0A0U3HC74
SACI_RS11990,0.1192182036691141,SACI_RS11990,type II toxin-antitoxin system VapC family toxin,No COG annotation,Op1151,,,,https://www.uniprot.org/uniprot/UPI0011BDD67A
SACI_RS10045,0.1154762599628272,Saci_2078,hypothetical protein,No COG annotation,Op1237,YtrA,Saci_2078,,https://www.uniprot.org/uniprot/A0A0U3FH80
SACI_RS09835,0.10614233804435308,glpF,aquaporin,Carbohydrate transport and metabolism,Op1211,,Saci_2034,,https://www.uniprot.org/uniprot/A0A0U3FQ15
SACI_RS09965,0.10381560659382216,Saci_2061,helix-turn-helix domain-containing protein,Function unknown,Op1225,,Saci_2061,,https://www.uniprot.org/uniprot/A0A0U3H5B5
SACI_RS10000,0.10116735072650933,Saci_2068,DUF2249 domain-containing protein,Function unknown,Op1229,,Saci_2068,,https://www.uniprot.org/uniprot/A0A0U3H4H2
SACI_RS10010,0.09786517625809582,Saci_2070,hypothetical protein,No COG annotation,Op1229,,Saci_2070,,https://www.uniprot.org/uniprot/A0A0U3H4J3
SACI_RS09940,0.0967515858428498,Saci_2056,cyclase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1221,,Saci_2056,,https://www.uniprot.org/uniprot/A0A0U3FXX8
SACI_RS09995,0.0945034432932586,Saci_2067,hemerythrin domain-containing protein,Function unknown,Op1229,,Saci_2067,,https://www.uniprot.org/uniprot/A0A0U2Y2Q5
SACI_RS11700,0.09274542600240247,Saci_1709,TRASH domain-containing protein,Function unknown,Op951,,Saci_1709,,https://www.uniprot.org/uniprot/UPI00005526DC
SACI_RS09975,0.09145835170662213,caiD,enoyl-CoA hydratase/isomerase family protein,Lipid transport and metabolism,Op1227,,Saci_2063,,https://www.uniprot.org/uniprot/A0A0U3GW81
SACI_RS09980,0.08912265276403178,cdhA_4,xanthine dehydrogenase family protein molybdopterin-binding subunit,Energy production and conversion,Op1227,,Saci_2064,,https://www.uniprot.org/uniprot/A0A0U2VXW5
SACI_RS09900,0.08828076751297283,Saci_2047,hypothetical protein,No COG annotation,Op1216,,Saci_2047,,https://www.uniprot.org/uniprot/A0A0U3GQM3
SACI_RS02480,0.08270136585221237,Saci_0517,hypothetical protein,No COG annotation,Op297,,Saci_0517,,https://www.uniprot.org/uniprot/A0A0U2VVL2
SACI_RS09910,0.07864355712462512,Saci_2049,CRISPR-associated RAMP protein,Defense mechanisms,Op1217,,Saci_2049,,https://www.uniprot.org/uniprot/A0A0U3H4J0
SACI_RS09905,0.07832545139731945,Saci_2048,hypothetical protein,Defense mechanisms,Op1216,,Saci_2048,,https://www.uniprot.org/uniprot/A0A0U2Y2S3
SACI_RS10055,0.07793781594417483,Saci_2080,type II toxin-antitoxin system VapC family toxin,Function unknown,Op1238,,Saci_2080,,https://www.uniprot.org/uniprot/A0A0U3GI76
SACI_RS10005,0.07687997674063858,Saci_2069,metal-sulfur cluster assembly factor,Function unknown,Op1229,,Saci_2069,,https://www.uniprot.org/uniprot/A0A0U3FYQ8
