locus,comp,gene_name,product,operon,TF,Rex,link
BSU03050,0.394840326,ldh,L-lactate dehydrogenase,ldh->lctP,"SigA, Rex",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03050
BSU03060,0.31101074300000003,lctP,L-lactate permease,ldh->lctP,"SigA, Rex",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03060
BSU38760,0.300321918,cydA,"cytochrome bd ubiquinol oxidase (subunit I), high affinity terminal oxidase",cydA->cydD,"ResD, Rex, SigF, CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38760
new_3979198_3979406_c,0.29738148,S1486,5'UTR of cydA,,"ResD, Rex, SigF, CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3979198_3979406_c
BSU38060,0.25945075,ywcJ,unknown,ywcJ,Rex,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38060
new_3906104_3907171,0.197196935,S1466,3'UTR of ywcJ,,Rex,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3906104_3907171
BSU38750,0.196508083,cydB,"cytochrome bd ubiquinol oxidase (subunit II), high affinity terminal oxidase",cydA->cydD,"ResD, Rex, SigF, CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38750
new_3979408_3979516_c,0.15534828,S1487,5'UTR of cydA,,"ResD, Rex, SigF, CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3979408_3979516_c
BSU38740,0.096888635,cydC,[SW|ABC transporter]  (ATP-binding protein),cydA->cydD,"ResD, Rex, SigF, CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38740
new_490527_490638_c,0.082856092,S144,independent transcript,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_490527_490638_c
