locus,gene_weight,gene_name,gene_product,COG,operon,regulator,AbrB,link
BSU_07480,0.12988016600000002,yfmG,unknown,Function unknown,yfmG,AbrB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU07480
BSU_39910,0.123174374,yxnB,unknown,No COG category,"yxbB->yxnB, yxbB->yxaM","SigA,CodY,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39910
BSU_39900,0.120581168,yxbA,putative D-aspartate ligase,Function unknown,"yxbB->yxnB, yxbB->yxaM","SigA,CodY,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39900
BSU_39890,0.11893434100000001,yxbB,putative S-adenosyl-L-methionine-dependent methyltransferase,No COG category,"yxbB->yxnB, yxbB->yxaM","SigA,CodY,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39890
BSU_39920,0.11095346900000001,asnH,asparagine synthase (glutamine-hydrolysing),Amino acid transport and metabolism,yxbB->yxaM,"SigA,CodY,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39920
BSU_01910,0.105906159,skfA,spore killing factor,No COG category,skfA->skfH,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU01910
BSU_01935,0.105872778,skfC,unknown,No COG category,skfA->skfH,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU01935
BSU_01920,0.10567330800000001,skfB,AdoMet radical sactisynthase,No COG category,skfA->skfH,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU01920
BSU_28910,0.101942746,pftA,pyruvate transporter,Function unknown,pftA->pftB,"LytT,Kre,CcpA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28910
BSU_39930,0.10140968800000001,yxaM,unknown,Intracellular trafficking and secretion,yxbB->yxaM,"SigA,CodY,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39930
BSU_39880,0.101346951,yxbC,unknown,Function unknown,yxbC->yxbD,"Spo0A,CodY,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39880
BSU_40170,0.098754592,yydG,radical SAM epimerase,No COG category,yydF->yydJ,"Rok,SigA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40170
BSU_28900,0.090466085,pftB,pyruvate transporter,Cell wall/membrane/envelope biogenesis,pftA->pftB,"LytT,Kre,CcpA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28900
BSU_21460,0.087047155,bdbA,thiol-disulfide oxidoreductase,No COG category,sunA->bdbB,"Rok,Abh,DnaA,YvrHb,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21460
BSU_02040,0.084364643,ybdN,unknown,Function unknown,ybdN,AbrB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02040
BSU_39870,0.084349173,yxbD,unknown,Transcription,yxbC->yxbD,"Spo0A,CodY,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39870
BSU_33750,0.081842395,sdpA,unknown,No COG category,sdpA->sdpC,"Rok,Spo0A,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU33750
BSU_31250,0.081128115,tlpA,methyl-accepting chemotaxis protein,No COG category,tlpA->mcpA,"SigD,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31250
BSU_40180,0.078683924,yydF,secreted peptide,No COG category,yydF->yydJ,"Rok,SigA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40180
BSU_21470,0.076997837,sunT,[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] 168 lantibiotic [SW|ABC transporter],Defense mechanisms,sunA->bdbB,"Rok,Abh,DnaA,YvrHb,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21470
BSU_33760,0.07671393900000001,sdpB,unknown,No COG category,sdpA->sdpC,"Rok,Spo0A,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU33760
BSU_02700,0.070369253,lip,extracellular lipase,Function unknown,lip,AbrB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02700
BSU_21450,0.069916327,yolJ,sublancin S-glycosyltransferase,Cell wall/membrane/envelope biogenesis,sunA->bdbB,"Rok,Abh,DnaA,YvrHb,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21450
BSU_40160,0.069594321,yydH,membrane protease,"Post-translational modification, protein turnover, and chaperones",yydF->yydJ,"Rok,SigA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40160
BSU_01950,0.06682188800000001,skfE,[SW|ABC transporter] (binding protein),Defense mechanisms,skfA->skfH,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU01950
