locus,gene_weight,gene_name,gene_product,cog,regulator,NrdR,link
SP5448_09065,0.2262556954,SP5448_09065,30S ribosomal protein S10,Function unknown,,False,
SP5448_09070,0.22507318580000002,nrdD,ribonucleoside-triphosphate reductase,Nucleotide transport and metabolism,"NrdR,Rgg,Irr_EE_M6",True,
SP5448_09055,0.1974850943,XK27_10930,GNAT family acetyltransferase,Function unknown,"NrdR,Rgg,Srv_M1",True,
SP5448_09060,0.1933535915,yceM,oxidoreductase,Function unknown,"NrdR,Rgg",True,
SP5448_09050,0.1825850038,nrdG,ribonucleoside-triphosphate reductase activating protein,"Posttranslational modification, protein turnover, chaperones","NrdR,Rgg,Srv_M1,Irr_LE_M6",True,
SP5448_03520,0.1387977847,SP5448_03520,hypothetical protein,Function unknown,"Nra_transition_M49,Nra_stationary_M49,Phage_2",False,
SP5448_07770,0.129395271,nrdI,ribonucleotide reductase,Nucleotide transport and metabolism,"NrdR,Rgg,MtsR_M49",True,
SP5448_03990,0.1261563764,nrdE,ribonucleotide-diphosphate reductase subunit alpha,Nucleotide transport and metabolism,"NrdR,Irr_LE_M6",True,
SP5448_07775,0.1255181757,nrdF,ribonucleoside-diphosphate reductase subunit beta,Nucleotide transport and metabolism,"NrdR,Rgg,MtsR_M49,FasX_60min_M1,CovR,CovR,CovR",True,
SP5448_03995,0.12446588680000001,nrdH,glutaredoxin,"Posttranslational modification, protein turnover, chaperones","NrdR,Rgg,Irr_EE_M6,Irr_LE_M6",True,
