locus,comp,gene_name,product,operon,TF,crp,link
b3708,0.15010335733400001,tnaA,tryptophanase,"tnaC, tnaA, tnaB","Sigma70, crp, torR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11005
b4068,0.121835101943,yjcH,conserved inner membrane protein,"acs, yjcH, actP","Sigma70, arcA, crp, fis, fnr, ihf, omrA, omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11943
b0553_1,0.108809403767,nmpC_1,,nmpC,"crp, ihf, mprA, ompR",True,
b4067,0.10225625429600001,actP,acetate / glycolate : cation symporter,"acs, yjcH, actP","Sigma54, Sigma70, arcA, crp, fis, fnr, ihf, omrA, omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11942
b3709,0.09789157004440001,tnaB,tryptophan:H<sup>+</sup> symporter TnaB,"tnaC, tnaA, tnaB","Sigma70, crp, torR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11006
b4069,0.0945308209358,acs,acetyl-CoA synthetase (AMP-forming),"acs, yjcH, actP","Sigma70, arcA, crp, fis, fnr, ihf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11448
b0651,0.09330068366589997,rihA,ribonucleoside hydrolase 1 (pyrimidine-specific),rihA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6358
b0268,0.0904430187118,yagE,CP4-6 prophage; probable 2-keto-3-deoxygluconate aldolase,"yagE, yagF",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6140
b3599,0.086889886802,mtlA,mannitol PTS permease,"mtlA, mtlD, mtlR","Sigma70, cra, crp, fis, mtlR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10615
b1423,0.0801438384782,ydcJ,conserved protein,ydcJ,nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6738
b1440,0.0793902730497,ydcS,"putative transport protein, ABC superfamily - periplasmic binding protein / polyhydroxybutyrate synthase","ydcS, ydcT, ydcU, ydcV, patD","Sigma38, nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b4090,0.076564649446,rpiB,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,rpiB,"Sigma70, alsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11827
b3600,0.07620234978149999,mtlD,mannitol-1-phosphate 5-dehydrogenase,"mtlA, mtlD, mtlR","Sigma70, cra, crp, fis, mtlR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10616
b4216,0.0756167609583,ytfJ,conserved protein,ytfJ,Sigma24,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7871
b0791,0.0754040412941,ybhQ,predicted inner membrane protein,ybhQ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6408
b3601,0.0744832171652,mtlR,MtlR DNA-binding transcriptional repressor,"mtlA, mtlD, mtlR","Sigma70, cra, crp, fis, mtlR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11965
b1415,0.0738482918713,aldA,aldehyde dehydrogenase A,aldA,"Sigma70, arcA, crp, dnaA, fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
b2175,0.07329892087989999,mepS,murein DD-endopeptidase/murein LD-carboxypeptidase,mepS,"lrp, nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7147
