locus,comp,gene_name,product,operon,TF,link
b3629,0.204958007035,waaS,lipopolysaccharide core biosynthesis protein,"rirA, waaQ, waaG, waaP, waaS, waaB, waaO, waaJ, waaY, waaZ, waaU","Sigma70, nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11350
b2032,0.175377653524,wbbK,predicted lipopolysaccharide biosynthesis protein,"wbbI, wbbJ, wbbK",,https://ecocyc.org/gene?orgid=ECOLI&id=EG11985
b3623,0.162737669434,waaU,lipopolysaccharide core biosynthesis; heptosyl transferase IV; probably hexose transferase,"rirA, waaQ, waaG, waaP, waaS, waaB, waaO, waaJ, waaY, waaZ, waaU","Sigma70, nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11423
b2352,0.149918405732,gtrS,CPS-53 (KpLE1) prophage; predicted inner membrane protein,"yfdG, yfdH, yfdI",,https://ecocyc.org/gene?orgid=ECOLI&id=G7221
b0564,0.149639062447,appY,AppY DNA-binding transcriptional activator,appY,"Sigma38, Sigma70, dpiA, h-NS",https://ecocyc.org/gene?orgid=ECOLI&id=EG10050
b2035,0.144749220379,wbbH,predicted O-antigen polymerase,"glf, wbbH",gcvB,https://ecocyc.org/gene?orgid=ECOLI&id=EG11982
b1550,0.12955897684599998,gnsB,Qin prophage; predicted protein,gnsB,,https://ecocyc.org/gene?orgid=ECOLI&id=G6823
b3624,0.126511253892,waaZ,protein involved in KdoIII attachment during lipopolysaccharide core biosynthesis,"rirA, waaQ, waaG, waaP, waaS, waaB, waaO, waaJ, waaY, waaZ, waaU","Sigma70, marA, nac, soxS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11426
b3622,0.12478198380000001,waaL,O-antigen ligase,"rfaD, waaF, waaC, waaL","Sigma24, Sigma32, Sigma70, nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11424
b3626,0.12396895191400001,waaR,"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase","rirA, waaQ, waaG, waaP, waaS, waaB, waaO, waaJ, waaY, waaZ, waaU","Sigma70, nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11353
b3512,0.118629877138,gadE,GadE DNA-binding transcriptional activator,"gadE, gadF, mdtE, mdtF","Sigma38, Sigma70, arcA, crp, evgA, fliZ, gadE, gadW, gadX, h-NS, nac, phoP, ydeO",https://ecocyc.org/gene?orgid=ECOLI&id=EG11544
b2642,0.118277519325,yfjW,CP4-57 prophage; predicted inner membrane protein,yfjW,,https://ecocyc.org/gene?orgid=ECOLI&id=G7377
b3625,0.11431447029200001,waaY,lipopolysaccharide core heptose (II) kinase,"rirA, waaQ, waaG, waaP, waaS, waaB, waaO, waaJ, waaY, waaZ, waaU","Sigma70, argR, marA, nac, soxS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11425
b1457,0.113121727936,ydcD,hypothetical protein,"rhsE, ydcD",,https://ecocyc.org/gene?orgid=ECOLI&id=EG11760
b2037,0.11208935563,wzxB,<i>O</i>-antigen flippase,"rfbB, rfbD, rfbA, rfbC, rfbX","gcvB, nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11980
b1137,0.10864283234000001,ymfD,e14 prophage; predicted SAM-dependent methyltransferase,"ymfE, ymfD",,https://ecocyc.org/gene?orgid=ECOLI&id=G6582
b2034,0.102055744477,wbbI,"&beta;-1,6-galactofuranosyltransferase","wbbI, wbbJ, wbbK",,https://ecocyc.org/gene?orgid=ECOLI&id=EG11983
b3627,0.0947432115359,waaO,"UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase","rirA, waaQ, waaG, waaP, waaS, waaB, waaO, waaJ, waaY, waaZ, waaU","Sigma70, nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11352
b4253,0.09398895641989999,yjgL,putative protein,yjgL,,https://ecocyc.org/gene?orgid=ECOLI&id=G7884
b3618,0.08901581571249999,yibB,involved in lipopolysaccharide biosynthesis,htrL,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11188
b2036,0.08900435389080001,glf,UDP-galactopyranose mutase,"glf, wbbH",gcvB,https://ecocyc.org/gene?orgid=ECOLI&id=EG11981
b4571_1,0.0868322778977,wbbL_1,"lipopolysaccharide biosynthesis protein, N-ter fragment",wbbL_1,,
b3594,0.0827205080464,yibA,predicted lyase containing HEAT-repeat,"rhsA, yibA",Sigma32,https://ecocyc.org/gene?orgid=ECOLI&id=EG11187
b1549,0.07901345360619999,ydfO,Qin prophage; predicted protein,"ynfO, ydfO",fnr,https://ecocyc.org/gene?orgid=ECOLI&id=G6822
b4279,0.0769174947738,yjhB,"putative transport protein, major facilitator superfamily","yjhB, yjhC","Sigma32, nanR",https://ecocyc.org/gene?orgid=ECOLI&id=EG12544
b4659_2,0.0765105250985,yabP_2,,yabP_2,,
b4571_2,0.0762410488985,wbbL_2,,wbbL_2,,
b0546,0.06772286648919999,ybcM,DLP12 prophage; predicted DNA-binding transcriptional regulator,"ybcL, ybcM",,https://ecocyc.org/gene?orgid=ECOLI&id=G6302
b4345,0.0675380556271,mcrC,MrcC subunit of 5-methylcytosine restriction system,"mcrB, mcrC",,https://ecocyc.org/gene?orgid=ECOLI&id=EG10575
b4346,0.066256507705,mcrB,MrcB subunit of 5-methylcytosine restriction system,"mcrB, mcrC",,https://ecocyc.org/gene?orgid=ECOLI&id=EG10574
b1363,0.0660096385983,trkG,K<sup>+</sup> transporter TrkG,trkG,ydcI,https://ecocyc.org/gene?orgid=ECOLI&id=EG11020
b2846,0.061948748186,yqeH,conserved protein with bipartite regulator domain,yqeH,,https://ecocyc.org/gene?orgid=ECOLI&id=G7466
