locus,gene_weight,gene_name,gene_product,cog,regulator,FabT,link
SP5448_02110,0.2400908397,accD,acetyl-CoA carboxylase subunit beta,Lipid transport and metabolism,"FabT,TrxR_M1,LacD.1_M14,Srv_M1,Irr_EE_M6",True,
SP5448_02085,0.2370387612,SP5448_02085,3-ketoacyl-ACP reductase,Function unknown,"FabT,Srv_M1,Irr_EE_M6",True,
SP5448_02115,0.2347991812,accA,acetyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,"FabT,TrxR_M1,LacD.1_M14,Nra_transition_M49",True,
SP5448_02080,0.23479393040000002,fabD,ACP S-malonyltransferase,Lipid transport and metabolism,"FabT,Mga,Irr_EE_M6",True,
SP5448_02105,0.2344456851,accC,acetyl-CoA carboxylase,Lipid transport and metabolism,"FabT,TrxR_M1,LacD.1_M14,Irr_EE_M6",True,
SP5448_02095,0.23389613920000002,accB,acetyl-CoA carboxylase,Lipid transport and metabolism,"FabT,Mga,LacD.1_M14,Irr_EE_M6",True,
SP5448_02075,0.23318219580000002,fabK,2-nitropropane dioxygenase,Function unknown,"FabT,Mga,CovR,Irr_EE_M6",True,
SP5448_02100,0.2316817848,fabZ,hydroxymyristoyl-ACP dehydratase,Lipid transport and metabolism,"FabT,TrxR_M1,LacD.1_M14",True,
SP5448_02090,0.22875756690000001,fabF,3-oxoacyl-ACP synthase,Lipid transport and metabolism,"FabT,Mga,LacD.1_M14,Irr_EE_M6",True,
SP5448_09250,0.2057870413,XK27_06930,hypothetical protein,Defense mechanisms,"PipR,Mga,Rgg",False,
SP5448_02065,0.16028101720000001,fabH,3-oxoacyl-ACP synthase,Lipid transport and metabolism,"FabT,Srv_M1,Irr_EE_M6",True,
SP5448_02055,0.1597851777,phaB,enoyl-CoA hydratase,Lipid transport and metabolism,FabT,True,
SP5448_02070,0.1248089431,acpP,acyl carrier protein,Function unknown,FabT,True,
SP5448_02060,-0.1430700409,marR,MarR family transcriptional regulator,Transcription,FabT,True,
