,Value,list
TF,SaeR,
reg_genes,28,"['USA300HOU_RS05775' 'hlA' 'saK' 'USA300HOU_RS02235' 'USA300HOU_RS01175'
 'USA300HOU_RS02185' 'USA300HOU_RS01125' 'hlgB' 'saeS' 'USA300HOU_RS02155'
 'USA300HOU_RS09665' 'USA300HOU_RS02240' 'USA300HOU_RS02145' 'splA'
 'USA300HOU_RS02195' 'hlgB' 'hlgB' 'hlgB']"
comp_genes,27,"['USA300HOU_RS02190' 'USA300HOU_RS05855' 'USA300HOU_RS05785'
 'USA300HOU_RS07820' 'USA300HOU_RS04275' 'USA300HOU_RS03820'
 'USA300HOU_RS04285' 'USA300HOU_RS01170' 'USA300HOU_RS04280'
 'USA300HOU_RS02110' 'USA300HOU_RS10520' 'sdrD' 'hlB' 'USA300HOU_RS07740'
 'alD' 'USA300HOU_RS10555' 'nuC']"
both_genes,10,"['USA300HOU_RS03825' 'hlgB' 'spA' 'USA300HOU_RS01965' 'USA300HOU_RS10550'
 'USA300HOU_RS04500' 'saeR' 'USA300HOU_RS02180' 'USA300HOU_RS10525' 'hlgB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,8,
comp_ops,7,
both_ops,4,
