locus,gene_weight,gene_name,gene_product,cog,operon,regulator,old_locus_tag,synonyms,LysM,link
SACI_RS06235,0.3640222508983626,SaHCS,homocitrate synthase,Amino acid transport and metabolism,Op727,,Saci_1304,lysS,False,https://www.uniprot.org/uniprot/UPI0000552583
SACI_RS03605,0.25512012451415844,lysX,Alpha-aminoadipate--LysW ligase LysX,Coenzyme transport and metabolism,Op405,LysM,Saci_0754,lysX_1,True,https://www.uniprot.org/uniprot/A0A0U2WZV0
SACI_RS03610,0.19873365395497491,lysJ,[LysW]-aminoadipate semialdehyde/glutamate semialdehyde transaminase,Amino acid transport and metabolism,Op405,LysM,Saci_0755,argD,True,https://www.uniprot.org/uniprot/A0A0U2Y804
SACI_RS03600,0.1806260679719314,lysW,Alpha-aminoadipate/glutamate carrier protein LysW,Amino acid transport and metabolism,Op405,LysM,Saci_0753,argW,True,https://www.uniprot.org/uniprot/A0A0U3HDS3
SACI_RS10580,0.16655097501245167,yveA,APC family permease,Amino acid transport and metabolism,Op1323,,Saci_2189,,False,https://www.uniprot.org/uniprot/A0A0U3FGY1
SACI_RS03615,0.1412869064863514,lysK,[LysW]-lysine/[LysW]-ornithine hydrolase,Amino acid transport and metabolism,Op405,LysM,Saci_0756,argE,True,https://www.uniprot.org/uniprot/A0A0U3F736
SACI_RS01230,0.13800206095334155,leuD,3-isopropylmalate dehydratase small subunit,Amino acid transport and metabolism,Op140,,Saci_0252,dmdB,False,https://www.uniprot.org/uniprot/A0A0U3H434
SACI_RS01235,0.1364753012910805,leuC,3-isopropylmalate dehydratase large subunit,Amino acid transport and metabolism,Op140,,Saci_0253,,False,https://www.uniprot.org/uniprot/A0A0U3GWF6
SACI_RS11900,-0.15860144236251306,Saci_2071,hypothetical protein,No COG annotation,Op1230,,Saci_2071,,False,https://www.uniprot.org/uniprot/A0A0U3FPY8
SACI_RS04910,-0.18219185272524333,Saci_1028,acetyl ornithine aminotransferase family protein,Amino acid transport and metabolism,Op541,,Saci_1028,argD,False,https://www.uniprot.org/uniprot/A0A0U3HA02
