,-0.08692563379210842,-0.06208973842293459,-0.037253843053760755,-0.012417947684586914,0.012417947684586914,0.03725384305376074,0.062089738422934596,0.08692563379210842,0.11176152916128225,0.1365974245304561,0.1614333198996299,0.18626921526880375,0.2111051106379776,0.2359410060071514,0.26077690137632525,0.28561279674549905,0.3104486921146729,0.33528458748384676,0.36012048285302056,0.3849563782221944
thresh,-0.09934358147669534,0.09934358147669534,20,,,,,,,,,,,,,,,,,
unreg,0,3,78,1789,1629,73,4,3,1,0,0,0,0,0,0,0,0,0,0,0
ArcA,0,0,3,50,46,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fur,0,3,2,27,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,0,2,96,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fis,0,0,2,36,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and Fur,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and Fnr,0,0,0,21,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and PdhR,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and Fis,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fur and Fnr,0,0,1,10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fur and PdhR,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fur and Fis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and PdhR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and Fis,0,0,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, Fur, and Fnr",0,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, Fnr, and Fis",0,0,1,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, Fur, Fnr, PdhR, and Fis",0,0,0,1,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"ArcA, Fur, Fnr, and Fis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, Fnr, and PdhR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],['pta'],[],[],[],[],[],[],[],[],[],[],[]
