locus,gene_weight,gene_name,gene_product,COG,operon,regulator,zur,zntR,link
b1973,0.5455235348040001,zinT,cadmium-induced cadmium binding protein,Function unknown,zinT,"fur,oxyR,rpoD,soxS,zur",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7061
b0296,0.474160875695,ykgM,predicted ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"rpoD,zur",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6167
b1857,0.321215215013,znuA,Zn<sup>2+</sup> ABC transporter - periplasmic binding protein,Inorganic ion transport and metabolism,znuA,"oxyR,rpoS,zur",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7017
b4506,0.228473588422,ykgO,predicted ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"rpoD,zur",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10434
b1178,0.213437393015,pliG,inhibitor of g-type lysozyme,Function unknown,pliG,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6615
b1856,0.16309615783099998,mepM,murein DD-endopeptidase MepM,Cell wall/membrane/envelope biogenesis,mepM,oxyR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10013
b1974,0.158123637944,yodB,predicted cytochrome,Energy production and conversion,yodB,yeiE,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b1858,0.149385273323,znuC,Zn<sup>2+</sup> ABC transporter - ATP binding subunit,Inorganic ion transport and metabolism,znuCB,"nac,oxyR,rpoD,zur",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7018
b1859,0.131432295912,znuB,Zn<sup>2+</sup> ABC transporter - membrane subunit,Inorganic ion transport and metabolism,znuCB,"nac,oxyR,rpoD,zur",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12368
b0484,0.108921952071,copA,Cu<sup>+</sup> export ATPase,Inorganic ion transport and metabolism,copA,"cueR,rpoD",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b0123,0.0789797712449,cueO,cuprous oxidase / multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport and catabolism",cueO,cueR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b3469,-0.108502256043,zntA,Zn<sup>2+</sup>/Cd<sup>2+</sup>/Pb<sup>2+</sup> export ATPase,Inorganic ion transport and metabolism,zntA,"rpoD,zntR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12215
