locus,comp,gene_name,product,operon,TF,iclR,fadR,link
b0221,0.231168572182,fadE,acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase/acyl-CoA dehydrogenase,fadE,"arcA, fadR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6105
b3846,0.21041863573,fadB,"dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase",fadBA,"arcA, fadR, fis, rpoD",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10279
b3845,0.19292865777600002,fadA,3-ketoacyl-CoA thiolase,fadBA,"arcA, fadR, fis, rpoD",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10278
b0443,0.173004739203,fadM,thioesterase III,fadM,"fadR, rpoE",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6244
b2342,0.16251705770199998,fadI,FadI component of anaerobic fatty acid oxidation complex,fadIJ,"arcA, fadR, lrp, rpoD",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7213
b2341,0.161328523502,fadJ,FadJ component of anaerobic fatty acid oxidation complex,fadIJ,"arcA, fadR, lrp, rpoD",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7212
b3081,0.13364293076199998,fadH,"2,4-dienoyl-CoA reductase",fadH,"arcA, crp, fadR, hipB",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G36
b3963,0.11186514519200001,fabR,FabR DNA-binding transcriptional repressor,fabR-yijD,arcA,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11394
b4015,0.0838624068697,aceA,isocitrate lyase,aceBAK,"arcA, cra, crp, iclR, ihf, lrp, rpoD",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10022
b1949,-0.0840007581257,fliQ,flagellar biosynthesis protein FliQ,fliLMNOPQR,"flhD;flhC, fliA, rpoD",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b0954,-0.13317384216199998,fabA,&beta;-hydroxyacyl-ACP dehydratase/isomerase,fabA,"fabR, fadR, rpoD",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10273
b0557,-0.14296780835,borD,lipoprotein <i>bor</I> homolog from lambdoid prophage DLP12,borD,"nac, phoP",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6312
b1187,-0.321675130489,fadR,FadR DNA-binding transcriptional dual regulator,fadR,"fadR, rpoD",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10281
