locus,comp,gene_name,product,operon,TF,arcA,link
b2725,0.142711499785,hycA,regulator of the transcriptional regulator FhlA,"hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI","Sigma54, fhlA, ihf, modE, nsrR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10474
b2998,0.134291447639,yghW,putative protein,yghW,"arcA, fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7555
b0973,0.127733444493,hyaB,"hydrogenase 1, large subunit","hyaA, hyaB, hyaC, hyaD, hyaE, hyaF","Sigma70, appY, arcA, fis, iscR, narL, narP, ydeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10469
b0976,0.12550699120300002,hyaE,protein involved in quality control of HyaA,"hyaA, hyaB, hyaC, hyaD, hyaE, hyaF","Sigma70, appY, arcA, fis, iscR, narL, narP, ydeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10472
b0977,0.116583215615,hyaF,protein involved in nickel incorporation into hydrogenase 1 proteins,"hyaA, hyaB, hyaC, hyaD, hyaE, hyaF","Sigma70, appY, arcA, fis, iscR, narL, narP, ydeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10473
b0974,0.112803303058,hyaC,"hydrogenase 1, b-type cytochrome subunit","hyaA, hyaB, hyaC, hyaD, hyaE, hyaF","Sigma70, appY, arcA, fis, iscR, narL, narP, ydeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10470
b0975,0.11153252306500001,hyaD,protein involved in processing of HyaA and HyaB proteins,"hyaA, hyaB, hyaC, hyaD, hyaE, hyaF","Sigma70, appY, arcA, fis, iscR, narL, narP, ydeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10471
b0972,0.110246552166,hyaA,"hydrogenase 1, small subunit","hyaA, hyaB, hyaC, hyaD, hyaE, hyaF","Sigma70, appY, arcA, fis, iscR, narL, narP, ydeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10468
b4071,0.102210008038,nrfB,formate-dependent nitrite reductase - penta-heme cytochrome c,"nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG","Sigma70, arcA, fis, flhD;flhC, fnr, ihf, narL, narP, nsrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11945
b0034,0.09953444992839999,caiF,CaiF transcriptional activator,caiF,"Sigma70, crp, fnr, h-NS, nac, narL",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6088
b2720,0.09074138133680001,hycF,formate hydrogenlyase complex iron-sulfur protein,"hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI","Sigma54, fhlA, ihf, modE, nsrR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10479
b0978,0.086150550305,cbdA,cytochrome <i>bd</i>-II terminal oxidase subunit I,"appC, appB, appX, appA","Sigma70, appY, arcA, ydeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11380
b0979,0.08426720340810001,cbdB,cytochrome <i>bd</i>-II terminal oxidase subunit II,"appC, appB, appX, appA","Sigma70, appY, arcA, ydeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11379
b0763,0.08318860741060001,modA,molybdate ABC transporter - periplasmic binding protein,"modA, modB, modC","Sigma28, Sigma70, crp, modE",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12427
b4070,0.08313681227269999,nrfA,formate-dependent nitrite reductase - NrfA subunit,"nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG","Sigma70, arcA, fis, flhD;flhC, fnr, ihf, narL, narP, nsrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11781
b4073,0.08175407093789999,nrfD,formate-dependent nitrite reductase - NrfD subunit,"nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG","Sigma70, arcA, fis, flhD;flhC, fnr, ihf, narL, narP, nsrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11947
b0734,-0.083061636658,cydB,cytochrome <i>bd</i>-I terminal oxidase subunit II,"cydA, cydB","Sigma70, arcA, cra, fnr, h-NS, hypT, nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10174
b0430,-0.08418552323680001,cyoC,cytochrome <i>bo</i> terminal oxidase subunit III,"cyoA, cyoB, cyoC, cyoD, cyoE","Sigma70, arcA, cra, crp, cusR, fis, fnr, fur, gadE, pdhR, yedW",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10180
b0429,-0.0846244499507,cyoD,cytochrome <i>bo</i> terminal oxidase subunit IV,"cyoA, cyoB, cyoC, cyoD, cyoE","Sigma70, arcA, cra, crp, cusR, fis, fnr, fur, gadE, pdhR, yedW",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10181
b0733,-0.0883221735013,cydA,cytochrome <i>bd</i>-I terminal oxidase subunit I,"cydA, cydB","Sigma70, arcA, cra, fnr, h-NS, hypT, nac, ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10173
b0431,-0.09847811988219997,cyoB,cytochrome <i>bo</i> terminal oxidase subunit I,"cyoA, cyoB, cyoC, cyoD, cyoE","Sigma70, arcA, cra, crp, cusR, fis, fnr, fur, gadE, pdhR, yedW",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10179
b0432,-0.101116079868,cyoA,cytochrome <i>bo</i> terminal oxidase subunit II,"cyoA, cyoB, cyoC, cyoD, cyoE","Sigma70, arcA, cra, crp, cusR, fis, fnr, fur, gadE, pdhR, yedW",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10178
b1109,-0.103147405843,ndh,NADH:quinone oxidoreductase II,ndh,"Sigma70, arcA, fis, fnr, fur, ihf, nsrR, pdhR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10649
b2579,-0.123017256735,grcA,stress-induced alternate pyruvate formate-lyase subunit,grcA,"Sigma70, arcA, crp, fis, fnr, fur, pdhR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11784
b1256,-0.186183207759,ompW,outer membrane protein W,ompW,"arcA, crp, fnr, narL, rybB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
