locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CodY,T-box,ThrR,SigA,CcpA,TnrA,link
BSU_28300,0.127826577,ilvH,acetolactate synthase (small subunit),Amino acid transport and metabolism,ilvB->leuD,"SigA,TnrA,CodY,CcpA,T-box",True,True,False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28300
BSU_28290,0.12245120200000001,ilvC,"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate, 2-acetolactate)",Amino acid transport and metabolism,ilvB->leuD,"SigA,TnrA,CodY,CcpA,T-box",True,True,False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28290
BSU__misc_RNA_45,0.11385864200000001,BSU_misc_RNA_45,,No COG category,,,False,False,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_45
BSU_28280,0.11100718100000001,leuA,2-isopropylmalate synthase,Amino acid transport and metabolism,ilvB->leuD,"SigA,TnrA,CodY,CcpA,T-box",True,True,False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28280
BSU_28310,0.107983462,ilvB,acetolactate synthase (large subunit),Amino acid transport and metabolism,ilvB->leuD,"SigA,TnrA,CodY,CcpA,T-box",True,True,False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28310
BSU_13550,0.10429955,mtnA,5-methylthioribose-1-phosphate isomerase,Amino acid transport and metabolism,mtnK->mtnA,"SigA,S-box",False,False,False,True,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13550
BSU_13560,0.099430579,mtnK,5-methylthioribose kinase,Nucleotide transport and metabolism,mtnK->mtnA,"SigA,S-box",False,False,False,True,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13560
BSU_28270,0.096842251,leuB,3-isopropylmalate dehydrogenase,Energy production and conversion,ilvB->leuD,"SigA,TnrA,CodY,CcpA,T-box",True,True,False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28270
BSU__misc_RNA_20,0.09537659500000001,BSU_misc_RNA_20,,No COG category,,,False,False,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_20
BSU_28260,0.09262408300000001,leuC,3-isopropylmalate dehydratase (large subunit),Amino acid transport and metabolism,ilvB->leuD,"SigA,TnrA,CodY,CcpA,T-box",True,True,False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28260
BSU_32240,0.08670757100000001,thrB,homoserine kinase,Amino acid transport and metabolism,"yutH->thrB, hom->thrB","TnrA,CodY,ThrR",True,False,True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32240
BSU_32260,0.08569425800000001,hom,homoserine dehydrogenase (NADPH),Amino acid transport and metabolism,"yutH->thrB, hom->thrB","TnrA,CodY,ThrR",True,False,True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32260
BSU_28250,0.08527662700000001,leuD,3-isopropylmalate dehydratase (small subunit),Amino acid transport and metabolism,ilvB->leuD,"SigA,TnrA,CodY,CcpA,T-box",True,True,False,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28250
BSU_32250,0.083402854,thrC,threonine synthase,Amino acid transport and metabolism,"yutH->thrB, hom->thrB","TnrA,CodY,ThrR",True,False,True,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32250
BSU__misc_RNA_21,0.082332784,BSU_misc_RNA_21,,No COG category,,SigA,False,False,False,True,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_21
BSU_21870,0.07176736900000001,ilvD,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate, 2,3-dihydroxy-3-methylpentanoate)",Amino acid transport and metabolism,ilvD,CodY,True,False,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21870
BSU_11430,0.071411103,oppA,oligopeptide ABC transporter (binding protein),Amino acid transport and metabolism,oppA->oppF,"TnrA,CodY,ScoC",True,False,False,False,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11430
BSU_21770,0.06950068400000001,ilvA,threonine dehydratase,Amino acid transport and metabolism,ilvA->ypmP,CodY,True,False,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21770
BSU_13570,0.06799482500000001,mtnU,omega-amidase,Function unknown,mtnU,SigA,False,False,False,True,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13570
BSU_13580,0.067044289,mtnE,glutamine transaminase,Amino acid transport and metabolism,mtnE,SigA,False,False,False,True,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13580
