locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ComK,link
BSU_24700,0.185363681,comGD,minor pseudopilin,No COG category,comGA->spoIIIL,"ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24700
BSU_24720,0.183946142,comGB,DNA transport machinery,Cell motility,comGA->spoIIIL,"ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24720
BSU_24710,0.18208795,comGC,major pseudopilin,Intracellular trafficking and secretion,comGA->spoIIIL,"ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24710
BSU_24690,0.178416086,comGE,minor pseudopilin,Intracellular trafficking and secretion,comGA->spoIIIL,"ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24690
BSU_24730,0.178096105,comGA,traffic ATPase,Cell motility,comGA->spoIIIL,"ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24730
BSU_24680,0.17777810500000002,comGF,DNA transport machinery,No COG category,comGA->spoIIIL,"ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24680
BSU_24670,0.16803878600000002,comGG,minor pseudopilin,No COG category,comGA->spoIIIL,"ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24670
BSU_24660,0.161336902,spoIIIL,component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] trans-envelope complex,Function unknown,"comGA->spoIIIL, spoIIIL","ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24660
new_368894_371728_c,0.15742678300000001,S122,intergenic region,No COG category,,ComK,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_368894_371728_c
BSU_35470,0.15715778200000002,comFA,ATP-binding protein,"Replication, recombination and repair",comFA->csrA,"ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35470
new_3862327_3866553,0.15268701,S1458,5'UTR of hemQ,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3862327_3866553
BSU_36310,0.149881429,ssbB,single-strand DNA-binding protein,"Replication, recombination and repair","ssbB, ywpG->ssbB",ComK,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36310
new_282233_283231_c,0.14987903600000002,S98,5'UTR of ycbP,No COG category,,SigB,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_282233_283231_c
new_3740106_3740205_c,0.148792849,S1399,3'UTR of ssbB,No COG category,,ComK,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3740106_3740205_c
BSU_25590,0.14874376,comEA,membrane DNA receptor,"Replication, recombination and repair",comEA->comEC,"ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25590
new_2641195_2642042_c,0.14735678400000002,S963,5'UTR of comEA,No COG category,,"ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2641195_2642042_c
new_2555662_2555886_c,0.134669422,S925,3'UTR of spoIIIL,No COG category,,"ComK,SigA,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2555662_2555886_c
new_1229850_1229914,0.131752738,S413,5'UTR of coiA,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1229850_1229914
new_3740032_3740104_c,0.128682968,S1398,intergenic region,No COG category,,"SigA,GlcR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3740032_3740104_c
BSU_28070,0.12827507200000002,comC,processing protease,Cell motility,comC,"ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28070
BSU_03420,0.12801964,nin,inhibitor of the DNA degrading activity of [[protein|99581CC6AFFA2D1392748B4D9C99DEF8B7601F75]],Function unknown,nucA->nin,ComK,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03420
new_372801_375944,0.12496662500000001,S125,5'UTR of hxlR,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_372801_375944
BSU_03430,0.11292060300000001,nucA,membrane-associated nuclease,Cell wall/membrane/envelope biogenesis,nucA->nin,ComK,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03430
BSU_11530,0.11161330400000001,coiA,unknown,Function unknown,"coiA->pepF, coiA",,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11530
new_4215473_4215670,0.10992974400000001,S1583,independent transcript,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4215473_4215670
BSU_25570,0.108224728,comEC,DNA channel,Function unknown,comEA->comEC,"ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25570
new_1_148,0.09913662100000001,S1,5'UTR of dnaA,No COG category,,"Spo0A,SigA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1_148
BSU_35450,0.09743095900000001,comFC,unknown,Function unknown,comFA->csrA,"ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35450
new_2637203_2637542_c,0.093499974,S962,independent transcript,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2637203_2637542_c
BSU_35460,0.093177667,comFB,unknown,Function unknown,comFA->csrA,"ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35460
new_3643957_3645689,0.08884478800000001,S1354,independent transcript,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3643957_3645689
new_4213186_4215471,0.085890147,S1579,independent transcript,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4213186_4215471
BSU_25580,0.078789738,comEB,late competence protein,Nucleotide transport and metabolism,comEA->comEC,"ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25580
BSU_10420,0.07868029400000001,comK,competence transcription factor (CTF),Transcription,comK,"ComK,Rok,Spo0A,SigA,CodY,DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU10420
new_1117924_1118790,0.078360117,S367,intergenic region,No COG category,,"ComK,Rok,Spo0A,SigA,CodY,DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1117924_1118790
BSU_02010,0.077338242,ybdK,two-component sensor kinase,Signal transduction,ybdK,ComK,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02010
BSU_02590,0.076958311,ycbP,unknown,Function unknown,ycbP,SigB,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02590
new_1117688_1117833,0.076300716,S366,intergenic region,No COG category,,"ComK,Rok,Spo0A,SigA,CodY,DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1117688_1117833
BSU_03380,0.07565379800000001,yckB,unknown,Amino acid transport and metabolism,yckB->yckA,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03380
BSU_06839,0.073318837,phrH,secreted regulator of the activity of phosphatase [[protein|BA85E2C2E2A6B76FAFA31EBDBF466324C9B021C8]],No COG category,"phrH, rapH->phrH","ComK,SigA,RghR,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06839
BSU_06830,0.07326874300000001,rapH,response regulator aspartate phosphatase,Function unknown,rapH->phrH,"ComK,SigA,RghR,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06830
BSU_03470,0.072611164,hxlR,[SW|MarR family|MarR/DUF24 family] transcription activator,Transcription,hxlR,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03470
new_752253_752357,0.071775263,S245,intergenic region,No COG category,,"ComK,SigA,RghR,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_752253_752357
new_3146090_3146171_c,0.07048639400000001,S1175,5'UTR of mntA,No COG category,,MntR,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3146090_3146171_c
BSU_03370,0.068974214,yckA,unknown,Inorganic ion transport and metabolism,yckB->yckA,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03370
BSU_38410,0.062058023000000004,sacX,"sucrose-specific [[category|SW 1.2.2|PTS]] permease, EIIBC component",No COG category,sacX->sacY,"SigA,DegU,SacY",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38410
BSU_16110,0.060321825,dprA,recombination mediator protein,"Replication, recombination and repair",sucC->topA,CcpA,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16110
BSU_38420,0.052496301,sacY,transcriptional antiterminator,No COG category,sacX->sacY,"SigA,DegU,SacY",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38420
BSU_40920,0.050095841,yyaF,GTP-binding protein/ GTPase,"Translation, ribosomal structure and biogenesis","yyzM->rpsR, yyaF->rpsR","ComK,SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40920
