locus,comp,gene_name,product,operon,TF,SigG,link
BSU39590,0.08502994,yxeD,unknown,,"SigE, SigG, AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39590
BSU23440,0.083970843,spoVAA,unknown,,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23440
BSU23420,0.082751835,spoVAC,mechanosensitive channel,,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23420
BSU23430,0.082512339,spoVAB,unknown,,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23430
BSU08640,0.08199105200000001,yfhS,unknown,,SigE,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08640
BSU17830,0.081416187,yndM,unknown,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17830
new_1417493_1417560,0.081212038,S483,5'UTR of ykzP,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1417493_1417560
BSU26980,0.080240223,yraE,unknown,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26980
BSU22290,0.080032737,sspM,small acid-soluble spore protein (minor SASP),,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU22290
BSU23410,0.079561519,spoVAD,binding protein for DPA,,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23410
BSU13510,0.078650203,ykzE,unknown,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13510
BSU31380,0.07858318,yuzA,unknown,,"SigB, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31380
BSU32340,0.078334213,lytH,peptidoglycan hydrolase,,SigK,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32340
BSU23402,0.078045203,spoVAEB,spore germinant protein,,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23402
BSU13470,0.077016517,sspD,small acid-soluble spore protein (minor alpha/beta-type SASP),,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13470
BSU22930,0.076866747,sleB,spore cortex-lytic enzyme,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU22930
BSU26970,0.076719164,adhB,unknown,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26970
BSU26950,0.076572677,yraG,unknown,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26950
BSU13509,0.076556505,ykzP,unknown,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13509
new_713536_713956_c,0.076524983,S233,5'UTR of yezF,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_713536_713956_c
BSU32860,0.076129491,yusN,unknown,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32860
BSU26960,0.076012203,yraF,unknown,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26960
BSU03930,0.075328899,gdh,glucose 1-dehydrogenase (NAD),,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03930
BSU03920,0.075016296,glcU,unknown,,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03920
BSU06559,0.0744166,yezF,unknown,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06559
BSU23401,0.073954369,spoVAEA,stage V sporulation germinant protein,,"SpoVT, SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23401
BSU22920,0.073937215,ypeB,[SW|germination] protein,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU22920
BSU09150,0.073707738,yhcN,unknown,,"SigG, SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09150
BSU13290,0.073682442,ykzD,unknown,,SigG,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13290
