locus,gene_weight,gene_name,gene_product,cog,regulator,HrcA,link
SP5448_06095,0.2177394473,clpL,Clp protease ClpX,"Posttranslational modification, protein turnover, chaperones","CtsR,CovR,CovR,Nra_transition_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1166%22)
SP5448_02045,0.1943580618,dnaK,molecular chaperone DnaK,"Posttranslational modification, protein turnover, chaperones","HrcA,CovR,Nra_transition_M49,Irr_EE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.369%22)
SP5448_02040,0.1900475576,grpE,heat shock protein GrpE,"Posttranslational modification, protein turnover, chaperones","HrcA,CovR,Nra_transition_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.368%22)
SP5448_08915,0.1864474276,groL,molecular chaperone GroEL,"Posttranslational modification, protein turnover, chaperones","HrcA,CtsR,Rgg,CovR,Nra_transition_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1728%22)
SP5448_08920,0.1862744754,groS,molecular chaperone GroES,"Posttranslational modification, protein turnover, chaperones","HrcA,CtsR,Mga,Rgg,Nra_transition_M49,Irr_EE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1729%22)
SP5448_02035,0.1725065044,hrcA,HrcA family transcriptional regulator,Transcription,"HrcA,TrxR_M1,CovR,Nra_transition_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.367%22)
SP5448_08910,0.1455619995,Z012_04635,MutR family transcriptional regulator,Transcription,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1727%22)
SP5448_02050,0.1346303503,dnaJ,molecular chaperone DnaJ,"Posttranslational modification, protein turnover, chaperones","Rgg,CovR,Nra_transition_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.370%22)
SP5448_03375,0.1192147213,clpE,Clp protease ClpX,"Posttranslational modification, protein turnover, chaperones","CtsR,CovR,Nra_transition_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.626%22)
SP5448_07865,0.11438483120000001,clpP,Clp protease,Function unknown,"CtsR,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1521%22)
