k,name,in_iM,gene_weight,regulator,function,category
22,VraR,False,0.025144714000000002,VraR,Cell Wall Biosynthesis,Structural Components
15,PurR,False,-0.021729638000000003,PurR,Purine Metabolism,Amino Acid and Nucleotide Metabolism
3,CymR,False,0.018595134000000003,CymR,Cysteine Metabolism,Amino Acid and Nucleotide Metabolism
21,Gal/Man.,False,-0.016338371,,Galactose/Mannose Metabolism,Carbon Source Utilization
28,Agr,False,-0.010956993,AgrA,Quorum Sensor/ Virulence Expression,Virulence
24,Autolysin,False,-0.010262418,,Autolysin Expression,Biological Enrichment
5,SaeR,False,-0.01021439,SaeR,Virulence Expression,Virulence
27,PerR,False,0.010007691,PerR,Oxidative Stress Response,Stress Response
17,SNFR,False,-0.009414843,,,Genomic Strain Difference
11,NreC/Rex,False,-0.009385684,NreC/Rex,Redox Balance,Energy Metabolism
7,Translation,False,0.008278255,,Translation Machinery Expression,Biological Enrichment
1,Vim-3,False,0.008050181,,Virulence Expression,Virulence
2,Unc-1,False,-0.007634873,,,Uncharacterized
10,Guanine Responsive (GR),False,-0.007213501000000001,Purine,Purine Salvage,Amino Acid and Nucleotide Metabolism
0,TreR,False,0.0070435540000000005,TreR,Trehalose Metabolism,Carbon Source Utilization
12,Urease,False,-0.006907404000000001,,Urea Metabolism,Miscellaneous Metabolism
4,SigB,False,0.006515501000000001,SigB,Stress Response,Stress Response
8,Fur,False,0.005817217,Fur,Iron Metabolism,Metal Homeostasis
26,MntR,False,-0.0056705340000000005,MntR,Manganese Acquisition,Metal Homeostasis
13,FMN,False,0.0055087090000000005,,Riboflavin Biosynthesis,Miscellaneous Metabolism
9,CodY,False,-0.0051754999999999995,CodY,Amino Acid Metabolism,Amino Acid and Nucleotide Metabolism
14,CcpA-1,False,-0.0041108510000000004,CcpA,Glucose Dependent Carbon Metabolism,Carbon Source Utilization
20,CcpA-2,False,-0.0039027880000000004,CcpA,Glucose Independent Carbon Metabolism,Carbon Source Utilization
25,B-Lactam Resistance,False,-0.00294821,,B-lactam Resistance,Stress Response
18,LacR,False,0.002622956,LacR,Lactose Metabolism,Carbon Source Utilization
23,Phi-Sa3,False,-0.002440189,,Prophage Expression,Mobile Elements
19,PyrR,False,-0.0022123430000000003,PyrR,Pyrimidine Metabolism,Amino Acid and Nucleotide Metabolism
6,Rex,False,-0.001288969,Rex,Redox Balance,Energy Metabolism
16,SigS,False,-0.001192473,SigS,Stress Response,Stress Response
