,regulator,TF_id,trn_type,gene_name,gene_id,reference
72,NorR,PA2665,TF,norR,PA2665,RegPrecise
73,PrpR,PA0797,TF,prpR,PA0797,RegPrecise
74,PrpR,PA0797,TF,prpB,PA0796,RegPrecise
75,PrpR,PA0797,TF,prpC,PA0795,RegPrecise
76,PrpR,PA0797,TF,acnD,PA0794,RegPrecise
77,PrpR,PA0797,TF,prpF,PA0793,RegPrecise
78,PrpR,PA0797,TF,prpD,PA0792,RegPrecise
79,HutC,PA5105,TF,hutC,PA5105,RegPrecise
80,HutC,PA5105,TF,hutD,PA5104,RegPrecise
81,HutC,PA5105,TF,hutF,PA5106,RegPrecise
82,HutC,PA5105,TF,hutU,PA5100,RegPrecise
83,HutC,PA5105,TF,COG1457 (CodB),PA5099,RegPrecise
84,HutC,PA5105,TF,hutH,PA5098,RegPrecise
85,HutC,PA5105,TF,hisT,PA5097,RegPrecise
86,HutC,PA5105,TF,hutX,PA5096,RegPrecise
87,HutC,PA5105,TF,hutW,PA5095,RegPrecise
88,HutC,PA5105,TF,hutV,PA5094,RegPrecise
89,HutC,PA5105,TF,hutH2,PA5093,RegPrecise
90,HutC,PA5105,TF,hutI,PA5092,RegPrecise
91,HutC,PA5105,TF,hutG,PA5091,RegPrecise
92,HypR,PA1269,TF,hypR,PA1269,RegPrecise
93,HypR,PA1269,TF,hypE,PA1268,RegPrecise
94,HypR,PA1269,TF,hypO,PA1267,RegPrecise
95,HypR,PA1269,TF,hypM,PA1260,RegPrecise
96,HypR,PA1269,TF,hypX,PA1259,RegPrecise
97,HypR,PA1269,TF,hypN,PA1258,RegPrecise
98,HypR,PA1269,TF,hypP,PA1257,RegPrecise
99,HypR,PA1269,TF,hypQ,PA1256,RegPrecise
100,HypR,PA1269,TF,hypY,PA1255,RegPrecise
101,HypR,PA1269,TF,hypD,PA1254,RegPrecise
102,HypR,PA1269,TF,hypH,PA1253,RegPrecise
103,LphR,PA1268,TF,lphP,PA1260,27145750
104,LphR,PA1268,TF,lphH,PA1259,27145750
105,LphR,PA1268,TF,lphM,PA1258,27145750
106,LphR,PA1268,TF,lphN,PA1257,27145750
107,LphR,PA1268,TF,lphO,PA1256,27145750
108,LphR,PA1268,TF,lphK,PA1255,27145750
109,LphR,PA1268,TF,lphC,PA1254,27145750
110,LphR,PA1268,TF,lphG,PA1253,27145750
111,IscR,PA3815,TF,iscR,PA3815,RegPrecise
112,IscR,PA3815,TF,iscS,PA3814,RegPrecise
113,IscR,PA3815,TF,iscU,PA3813,RegPrecise
114,IscR,PA3815,TF,iscA,PA3812,RegPrecise
115,IscR,PA3815,TF,hscB,PA3811,RegPrecise
116,IscR,PA3815,TF,hscA,PA3810,RegPrecise
117,IscR,PA3815,TF,fdx,PA3809,RegPrecise
118,IscR,PA3815,TF,yfhJ,PA3808,RegPrecise
119,IscR,PA3815,TF,erpA,PA0665,RegPrecise
120,NagQ,PA3757,TF,nagQ,PA3757,RegPrecise
121,NagQ,PA3757,TF,,PA3758,RegPrecise
122,NagQ,PA3757,TF,nagB2,PA3759,RegPrecise
123,NagQ,PA3757,TF,ptsI,PA3760,RegPrecise
124,NagQ,PA3757,TF,,PA3761,RegPrecise
125,GlcC,PA5356,TF,glcD,PA5355,RegPrecise
126,GlcC,PA5356,TF,glcE,PA5354,RegPrecise
127,GlcC,PA5356,TF,glcF,PA5353,RegPrecise
128,GlcC,PA5356,TF,glcG,PA5352,RegPrecise
129,GlcC,PA5356,TF,glcC,PA5356,RegPrecise
130,NtrC,PA5125,TF,ntrB,PA5124,RegPrecise
131,NtrC,PA5125,TF,ntrC,PA5125,RegPrecise
132,NtrC,PA5125,TF,ybdK,PA1730,RegPrecise
133,NtrC,PA5125,TF,PF04168,PA1731,RegPrecise
134,NtrC,PA5125,TF,PF01841,PA1732,RegPrecise
135,NtrC,PA5125,TF,glnA,PA5119,RegPrecise
136,NtrC,PA5125,TF,glnK,PA5288,RegPrecise
137,NtrC,PA5125,TF,amtB,PA5287,RegPrecise
138,FruR,PA3563,TF,fruR,PA3563,RegPrecise
139,FruR,PA3563,TF,fruB,PA3562,RegPrecise
140,FruR,PA3563,TF,fruK,PA3561,RegPrecise
141,FruR,PA3563,TF,fruA,PA3560,RegPrecise
142,RbsR,PA1949,TF,rbsB,PA1946,RegPrecise
143,RbsR,PA1949,TF,rbsA,PA1947,RegPrecise
144,RbsR,PA1949,TF,rbsC,PA1948,RegPrecise
145,RbsR,PA1949,TF,rbsR,PA1949,RegPrecise
146,RbsR,PA1949,TF,rbsK,PA1950,RegPrecise
147,ModE,PA0487,TF,modA,PA1863,RegPrecise
148,ModE,PA0487,TF,modB,PA1862,RegPrecise
149,ModE,PA0487,TF,modC,PA1861,RegPrecise
150,LexA,PA3007,TF,yebG,PA3413,RegPrecise
151,LexA,PA3007,TF,PF04055,PA0069,RegPrecise
152,LexA,PA3007,TF,PA0922,PA0922,RegPrecise
153,LexA,PA3007,TF,imuA,PA0671,RegPrecise
154,LexA,PA3007,TF,imuB,PA0670,RegPrecise
155,LexA,PA3007,TF,dnaE2,PA0669,RegPrecise
156,LexA,PA3007,TF,lexA,PA3007,RegPrecise
157,LexA,PA3007,TF,sulA,PA3008,RegPrecise
158,LexA,PA3007,TF,recN,PA4763,RegPrecise
159,LexA,PA3007,TF,recA,PA3617,RegPrecise
160,LexA,PA3007,TF,recX,PA3616,RegPrecise
161,LexA,PA3007,TF,dinG,PA1045,RegPrecise
162,LexA,PA3007,TF,PF08774,PA1865,RegPrecise
163,LexA,PA3007,TF,COG1199,PA1866,RegPrecise
164,LexA,PA3007,TF,PA2288,PA2288,RegPrecise
165,LexA,PA3007,TF,PF07130,PA3413,RegPrecise
166,LiuR,PA2016,TF,aacS,PA2557,RegPrecise
167,LiuR,PA2016,TF,liuR,PA2016,RegPrecise
168,LiuR,PA2016,TF,liuA,PA2015,RegPrecise
169,LiuR,PA2016,TF,liuB,PA2014,RegPrecise
170,LiuR,PA2016,TF,liuC,PA2013,RegPrecise
171,LiuR,PA2016,TF,liuD,PA2012,RegPrecise
172,LiuR,PA2016,TF,liuE,PA2011,RegPrecise
173,PsrA,PA3006,TF,acdH1,PA0506,RegPrecise
174,PsrA,PA3006,TF,acdH2,PA0507,RegPrecise
175,PsrA,PA3006,TF,acdH3,PA0508,RegPrecise
176,PsrA,PA3006,TF,,PA1831,RegPrecise
177,PsrA,PA3006,TF,scp,PA1830,RegPrecise
178,PsrA,PA3006,TF,fadB,PA3014,RegPrecise
179,PsrA,PA3006,TF,fadA,PA3013,RegPrecise
180,PsrA,PA3006,TF,rpoS,PA3622,RegPrecise
181,PsrA,PA3006,TF,etfD,PA2953,RegPrecise
182,PsrA,PA3006,TF,etfB,PA2952,RegPrecise
183,PsrA,PA3006,TF,etfA,PA2951,RegPrecise
184,PsrA,PA3006,TF,algQ,PA5255,RegPrecise
185,PsrA,PA3006,TF,psrA,PA3006,RegPrecise
186,RutR,PA0167,TF,COG0726,PA1517,RegPrecise
187,RutR,PA0167,TF,pucL,PA1516,RegPrecise
188,RutR,PA0167,TF,allC,PA1515,RegPrecise
189,RutR,PA0167,TF,allA,PA1514,RegPrecise
190,RutR,PA0167,TF,COG3748,PA1513,RegPrecise
191,RutR,PA0167,TF,ppuA,PA0136,RegPrecise
192,RutR,PA0167,TF,ppuC,PA0137,RegPrecise
193,RutR,PA0167,TF,ppuD,PA0138,RegPrecise
194,RutR,PA0167,TF,tsx,PA0165,RegPrecise
195,RutR,PA0167,TF,pbuT,PA0166,RegPrecise
196,RutR,PA0167,TF,rutR,PA0167,RegPrecise
197,RutR,PA0167,TF,COG1739,PA0168,RegPrecise
198,VanR,PA4906,TF,vanA,PA4904,RegPrecise
199,VanR,PA4906,TF,vanB,PA4905,RegPrecise
200,VanR,PA4906,TF,vanK,PA4903,RegPrecise
201,PhnF,PA3381,TF,phnF,PA3381,RegPrecise
202,PhnF,PA3381,TF,phnG,PA3380,RegPrecise
203,PhnF,PA3381,TF,phnH,PA3379,RegPrecise
204,PhnF,PA3381,TF,phnI,PA3378,RegPrecise
205,PhnF,PA3381,TF,phnJ,PA3377,RegPrecise
206,PhnF,PA3381,TF,phnK,PA3376,RegPrecise
207,PhnF,PA3381,TF,phnL,PA3375,RegPrecise
208,PhnF,PA3381,TF,pnhM,PA3374,RegPrecise
209,PhnF,PA3381,TF,phnN,PA3373,RegPrecise
210,PhnF,PA3381,TF,phnP,PA3372,RegPrecise
211,PhnR,PA2802,TF,phnR,PA3249,RegPrecise
212,PhnR,PA2802,TF,phnS,PA3250,RegPrecise
213,PhnR,PA2802,TF,PF01663,PA3251,RegPrecise
214,PhnR,PA2802,TF,phnU,PA3252,RegPrecise
215,PhnR,PA2802,TF,phnV,PA3253,RegPrecise
216,PhnR,PA2802,TF,phnT,PA3254,RegPrecise
217,PhnR,PA2802,TF,COG0560,PA3255,RegPrecise
218,PhnR,PA2802,TF,phnR3,PA2802,RegPrecise
219,PhnR,PA2802,TF,phnX,PA2803,RegPrecise
220,PhnR,PA2802,TF,COG4341,PA2804,RegPrecise
221,PhnR,PA2802,TF,,PA1144,RegPrecise
222,PhnR,PA2802,TF,COG0560,PA1143,RegPrecise
223,PhnR,PA2802,TF,phnR2,PA1142,RegPrecise
224,PhnR,PA2802,TF,COG0560,PA3255,RegPrecise
225,FabR2,PA1539,TF,fabR2,PA1539,RegPrecise
226,FabR2,PA1539,TF,COG2072,PA1538,RegPrecise
227,FabR2,PA1539,TF,COG0300,PA1537,RegPrecise
228,RutR3,PA1504,TF,xdhA,PA1524,RegPrecise
229,RutR3,PA1504,TF,xdhB,PA1523,RegPrecise
230,RutR3,PA1504,TF,xdhC,PA1522,RegPrecise
231,RutR3,PA1504,TF,guaD,PA1521,RegPrecise
232,RutR3,PA1504,TF,pbuT,PA1519,RegPrecise
233,yybP-ykoY,,RNA,COG2119,PA4629,RegPrecise
234,yybP-ykoY,,RNA,COG1971,PA2910,RegPrecise
235,TPP,,RNA,thiC,PA4973,RegPrecise
236,SAH_riboswitch,,RNA,ahcY,PA0432,RegPrecise
237,SAH_riboswitch,,RNA,,PA0431,RegPrecise
238,SAH_riboswitch,,RNA,metF,PA0430,RegPrecise
239,mini-ykkC,,RNA,ykkC2,PA1882,RegPrecise
240,mini-ykkC,,RNA,ykkC1,PA3265,RegPrecise
241,S15,,RNA,rpsO,PA4741,RegPrecise
242,Cobalamin,,RNA,cobG,PA2906,RegPrecise
243,Cobalamin,,RNA,cbiC,PA2905,RegPrecise
244,Cobalamin,,RNA,cbiL,PA2904,RegPrecise
245,Cobalamin,,RNA,cbiGH,PA2903,RegPrecise
246,Cobalamin,,RNA,btuB2,PA1271,RegPrecise
247,Cobalamin,,RNA,btuR,PA1272,RegPrecise
248,Cobalamin,,RNA,cbiA,PA1273,RegPrecise
249,Cobalamin,,RNA,bluB,PA1274,RegPrecise
250,Cobalamin,,RNA,cbiB,PA1275,RegPrecise
251,Cobalamin,,RNA,cobD,PA1276,RegPrecise
252,Cobalamin,,RNA,cbiP,PA1277,RegPrecise
253,Cobalamin,,RNA,cobU,PA1278,RegPrecise
254,Cobalamin,,RNA,cobT,PA1279,RegPrecise
255,Cobalamin,,RNA,cobC,PA1280,RegPrecise
256,Cobalamin,,RNA,cobS,PA1281,RegPrecise
257,Cobalamin,,RNA,cbtA,PA2946,RegPrecise
258,Cobalamin,,RNA,cobE,PA2947,RegPrecise
259,Cobalamin,,RNA,cbiF,PA2948,RegPrecise
260,Cobalamin,,RNA,btuB,PA2911,RegPrecise
261,Cobalamin,,RNA,btuD,PA2912,RegPrecise
262,Cobalamin,,RNA,btuF,PA2913,RegPrecise
263,Cobalamin,,RNA,btuC,PA2914,RegPrecise
264,Cobalamin,,RNA,,PA2945,RegPrecise
265,Cobalamin,,RNA,cobN,PA2944,RegPrecise
266,FMN,,RNA,ribE2,PA4055,RegPrecise
267,FMN,,RNA,ribBA,PA4054,RegPrecise
268,FMN,,RNA,ribH,PA4053,RegPrecise
269,PA2100,PA2100,TF,COG697 (RhaT),PA2101,RegPrecise
270,PA2100,PA2100,TF,COG1310,PA2102,RegPrecise
271,GntR,PA2320,TF,gntT,PA2322,RegPrecise
272,GntR,PA2320,TF,gntK,PA2321,RegPrecise
273,GntR,PA2320,TF,gntR,PA2320,RegPrecise
274,SoxR,PA2273,TF,PF07690,PA3718,RegPrecise
275,SoxR,PA2273,TF,mexG,PA4205,RegPrecise
276,SoxR,PA2273,TF,mexH,PA4206,RegPrecise
277,SoxR,PA2273,TF,mexI,PA4207,RegPrecise
278,SoxR,PA2273,TF,opmD,PA4208,RegPrecise
279,SoxR,PA2273,TF,PF03992,PA2274,RegPrecise
280,SoxR,PA2273,TF,soxR,PA2273,RegPrecise
281,CueR,PA4778,TF,copA,PA3920,RegPrecise
282,CueR,PA4778,TF,,PA3523,RegPrecise
283,CueR,PA4778,TF,,PA3522,RegPrecise
284,CueR,PA4778,TF,PA3521,PA3521,RegPrecise
285,CueR,PA4778,TF,PA3515,PA3515,20233934
286,CueR,PA4778,TF,PA3516,PA3516,20233934
287,CueR,PA4778,TF,PA3517,PA3517,20233934
288,CueR,PA4778,TF,PA3518,PA3518,20233934
289,CueR,PA4778,TF,PA3519,PA3519,20233934
290,CueR,PA4778,TF,PA3520,PA3520,20233934
291,CueR,PA4778,TF,PA3574a,PA3574a,20233934
292,CadR-PbrR,PA3689,TF,cadA,PA3690,RegPrecise
293,PtxS,PA2259,TF,ptxS,PA2259,RegPrecise
294,PtxS,PA2259,TF,kguE,PA2260,RegPrecise
295,PtxS,PA2259,TF,kguK,PA2261,RegPrecise
296,PtxS,PA2259,TF,kguT,PA2262,RegPrecise
297,PtxS,PA2259,TF,kguD,PA2263,RegPrecise
298,PtxS,PA2259,TF,gadC,PA2264,RegPrecise
299,PtxS,PA2259,TF,gadB,PA2265,RegPrecise
300,PtxS,PA2259,TF,gadA,PA2266,RegPrecise
301,PA2299,PA2299,TF,PA2299,PA2299,RegPrecise
302,PA2299,PA2299,TF,PA2298,PA2298,RegPrecise
303,PA2299,PA2299,TF,PA2297,PA2297,RegPrecise
304,PA2299,PA2299,TF,PA2296,PA2296,RegPrecise
305,PA2299,PA2299,TF,PA2295,PA2295,RegPrecise
306,PA2299,PA2299,TF,PA2294,PA2294,RegPrecise
307,PA2299,PA2299,TF,PA2293,PA2293,RegPrecise
308,PA2299,PA2299,TF,PA2292,PA2292,RegPrecise
309,PA1520,PA1520,TF,PA2938,PA2938,RegPrecise
310,PA1520,PA1520,TF,PA1520,PA1520,RegPrecise
311,PA1520,PA1520,TF,PA1518,PA1518,RegPrecise
312,PA1520,PA1520,TF,gcl,PA1502,RegPrecise
313,PA1520,PA1520,TF,hyi,PA1501,RegPrecise
314,PA1520,PA1520,TF,garR,PA1500,RegPrecise
315,PA1520,PA1520,TF,PA0165,PA0165,RegPrecise
316,PA1520,PA1520,TF,PA1503,PA1503,RegPrecise
317,PA1520,PA1520,TF,PA1507,PA1507,RegPrecise
318,PA1520,PA1520,TF,PA1517,PA1517,RegPrecise
319,PA1520,PA1520,TF,uraO,PA1516,RegPrecise
320,PA1520,PA1520,TF,alc,PA1515,RegPrecise
321,PA1520,PA1520,TF,allA,PA1514,RegPrecise
322,PA1520,PA1520,TF,PA1513,PA1513,RegPrecise
323,PA1520,PA1520,TF,PA0476,PA0476,RegPrecise
324,PA1520,PA1520,TF,PA1519,PA1519,RegPrecise
325,UreR,PA0120,TF,dctA,PA0119,RegPrecise
326,UreR,PA0120,TF,ureR,PA0120,RegPrecise
327,MetR,PA3587,TF,metH,PA1843,RegPrecise
328,MetR,PA3587,TF,metR,PA3587,RegPrecise
329,MetR,PA3587,TF,metE,PA1927,RegPrecise
330,PA0268,PA0268,TF,PF02627,PA0269,RegPrecise
331,PA0268,PA0268,TF,PF07883,PA0270,RegPrecise
332,YdcR,PA4132,TF,cysI,PA4130,RegPrecise
333,YdcR,PA4132,TF,COG3749,PA4129,RegPrecise
334,YdcR,PA4132,TF,ccoN,PA4133,RegPrecise
335,GcsR,PA2449,TF,gcvH,PA2446,RegPrecise|27303730
336,GcsR,PA2449,TF,gcvP,PA2445,RegPrecise|27303730
337,GcsR,PA2449,TF,glyA,PA2444,RegPrecise|27303730
338,GcsR,PA2449,TF,sdaA,PA2443,RegPrecise|27303730
339,GcsR,PA2449,TF,gcvT,PA2442,RegPrecise|27303730
340,HmgR,PA2010,TF,hmgR,PA2010,RegPrecise
341,HmgR,PA2010,TF,hmgA,PA2009,RegPrecise
342,HmgR,PA2010,TF,hmgC,PA2008,RegPrecise
343,HmgR,PA2010,TF,hmgB,PA2007,RegPrecise
344,HmgR,PA2010,TF,COG2814,PA2006,RegPrecise
345,PdxR,PA4165,TF,PF00583,PA4166,RegPrecise
346,YjiR,PA2032,TF,yjiS,PA2031,RegPrecise
347,EutR,PA5506,TF,eutR,PA5506,RegPrecise
348,EutR,PA5506,TF,COG1335,PA5507,RegPrecise
349,EutR,PA5506,TF,eutB,PA5508,RegPrecise
350,EutR,PA5506,TF,eutA,PA5509,RegPrecise
351,EutR,PA5506,TF,eutT,PA5510,RegPrecise
352,SdaR,PA1050,TF,grtP,PA1051,RegPrecise
353,SdaR,PA1050,TF,garK,PA1052,RegPrecise
354,PhrR,PA4659,TF,COG3380,PA4657,RegPrecise
355,PhrR,PA4659,TF,COG3272,PA4658,RegPrecise
356,PhrR,PA4659,TF,phrR,PA4659,RegPrecise
357,PhrR,PA4659,TF,phr,PA4660,RegPrecise
358,PdxW2,PA5431,TF,COG456 (RimI) PF00583,PA5432,RegPrecise
359,PdxW2,PA5431,TF,COG1670 (RimL) PF00583,PA5433,RegPrecise
360,RoxR,PA4493,TF,coxA,PA0105,28542449
361,RoxR,PA4493,TF,coxB,PA0106,28542449
362,RoxR,PA4493,TF,coIII,PA0108,28542449
363,RpoS,PA3622,TF,coxA,PA0105,28542449
364,RpoS,PA3622,TF,coxB,PA0106,28542449
365,RpoS,PA3622,TF,coIII,PA0108,28542449
366,CysB,PA1754,TF,atsB,PA0185,10715018
367,CysB,PA1754,TF,ataA,PA0183,10715018
368,CysB,PA1754,TF,atsC,PA0184,10715018
369,CysB,PA1754,TF,atsR,PA0186,10715018
370,YdfF,PA2079,TF,cysA,PA0280,PseudoCyc
371,YdfF,PA2079,TF,cysW,PA0281,PseudoCyc
372,YdfF,PA2079,TF,cysT,PA0282,PseudoCyc
373,AtuR,PA2885,TF,atuA,PA2886,20487029
374,AtuR,PA2885,TF,atuB,PA2887,20487029
375,AtuR,PA2885,TF,atuC,PA2888,20487029
376,AtuR,PA2885,TF,atuD,PA2889,20487029
377,AtuR,PA2885,TF,atuE,PA2890,20487029
378,AtuR,PA2885,TF,atuF,PA2891,20487029
379,AtuR,PA2885,TF,atuG,PA2892,20487029
380,RpoS,PA3622,TF,pelA,PA3064,22176658
381,RpoS,PA3622,TF,pelB,PA3063,22176658
382,RpoS,PA3622,TF,pelC,PA3062,22176658
383,RpoS,PA3622,TF,pelD,PA3061,22176658
384,RpoS,PA3622,TF,pelE,PA3060,22176658
385,RpoS,PA3622,TF,pelF,PA3059,22176658
386,RpoS,PA3622,TF,pelG,PA3058,22176658
387,FleQ,PA1097,TF,pelA,PA3064,22176658
388,FleQ,PA1097,TF,pelB,PA3063,22176658
389,FleQ,PA1097,TF,pelC,PA3062,22176658
390,FleQ,PA1097,TF,pelD,PA3061,22176658
391,FleQ,PA1097,TF,pelE,PA3060,22176658
392,FleQ,PA1097,TF,pelF,PA3059,22176658
393,FleQ,PA1097,TF,pelG,PA3058,22176658
394,RsmA,PA0905,TF,pelA,PA3064,22176658
395,RsmA,PA0905,TF,pelB,PA3063,22176658
396,RsmA,PA0905,TF,pelC,PA3062,22176658
397,RsmA,PA0905,TF,pelD,PA3061,22176658
398,RsmA,PA0905,TF,pelE,PA3060,22176658
399,RsmA,PA0905,TF,pelF,PA3059,22176658
400,RsmA,PA0905,TF,pelG,PA3058,22176658
401,AcoR,PA4147,TF,PA4148,PA4148,32814867
402,AcoR,PA4147,TF,PA4149,PA4149,32814867
403,AcoR,PA4147,TF,PA4150,PA4150,32814867
404,AcoR,PA4147,TF,acoB,PA4151,32814867
405,AcoR,PA4147,TF,PA4152,PA4152,32814867
406,AcoR,PA4147,TF,PA4153,PA4153,32814867
407,Fur,PA4764,TF,cyoA,PA1317,21833336
408,Fur,PA4764,TF,cyoB,PA1318,21833336
409,Fur,PA4764,TF,cyoC,PA1319,21833336
410,Fur,PA4764,TF,cyoD,PA1320,21833336
411,Fur,PA4764,TF,cyoE,PA1321,21833336
412,Anr,PA1544,TF,nirJ,PA0511,9919648
413,Anr,PA1544,TF,nirL,PA0514,9919648
414,Anr,PA1544,TF,nirF,PA0516,9919648
415,Anr,PA1544,TF,nirN,PA0509,9919648
416,Anr,PA1544,TF,nirE,PA0510,9919648
417,Anr,PA1544,TF,nirH,PA0512,9919648
418,Anr,PA1544,TF,nirC,PA0517,9919648
419,Anr,PA1544,TF,nirM,PA0518,9919648
420,Anr,PA1544,TF,nirS,PA0519,9919648
421,DhcR,PA1998,TF,dhcA,PA1999,20304990
422,DhcR,PA1998,TF,dhcB,PA2000,20304990
423,DhcR,PA1998,TF,atoB,PA2001,20304990
424,PvdS,PA2426,TF,pvdA,PA2386,12686626
425,PvdS,PA2426,TF,pvdF,PA2396,12686626
426,PvdS,PA2426,TF,pvdE,PA2397,12686626
427,PvdS,PA2426,TF,pvdD,PA2399,12686626
428,PvdS,PA2426,TF,pvdJ,PA2400,12686626
429,PvdS,PA2426,TF,pvdI,PA2402,12686626
430,MmsR,PA3571,TF,mmsA,PA3570,1339433
431,MmsR,PA3571,TF,mmsB,PA3569,1339433
432,PqsR,PA1003,TF,phzA1,PA4210,26735915
433,PqsR,PA1003,TF,phzB1,PA4211,26735915
434,PqsR,PA1003,TF,phzC1,PA4212,26735915
435,PqsR,PA1003,TF,phzD1,PA4213,26735915
436,PqsR,PA1003,TF,phzE1,PA4214,26735915
437,PqsR,PA1003,TF,phzF1,PA4215,26735915
438,PqsR,PA1003,TF,phzG1,PA4216,26735915
439,RhlR,PA3477,TF,phzA1,PA4210,26735915
440,RhlR,PA3477,TF,phzB1,PA4211,26735915
441,RhlR,PA3477,TF,phzC1,PA4212,26735915
442,RhlR,PA3477,TF,phzD1,PA4213,26735915
443,RhlR,PA3477,TF,phzE1,PA4214,26735915
444,RhlR,PA3477,TF,phzF1,PA4215,26735915
445,RhlR,PA3477,TF,phzG1,PA4216,26735915
446,QscR,PA1898,TF,phzA1,PA4210,26735915
447,QscR,PA1898,TF,phzB1,PA4211,26735915
448,QscR,PA1898,TF,phzC1,PA4212,26735915
449,QscR,PA1898,TF,phzD1,PA4213,26735915
450,QscR,PA1898,TF,phzE1,PA4214,26735915
451,QscR,PA1898,TF,phzF1,PA4215,26735915
452,QscR,PA1898,TF,phzG1,PA4216,26735915
453,QscR,PA1898,TF,phzA2,PA1899,26735915
454,QscR,PA1898,TF,phzB2,PA1900,26735915
455,QscR,PA1898,TF,phzC2,PA1901,26735915
456,QscR,PA1898,TF,phzD2,PA1902,26735915
457,QscR,PA1898,TF,phzE2,PA1903,26735915
458,QscR,PA1898,TF,phzF2,PA1904,26735915
459,QscR,PA1898,TF,phzG2,PA1905,26735915
460,CzcR,PA2523,TF,czcC,PA2522,17449606
