locus,comp,gene_name,product,operon,TF,ilvY,link
b3769,0.210018404775,ilvM,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit","ilvL, ilvX, ilvG_1, ilvG_2, ilvM, ilvE, ilvD, ilvA","Sigma70, ihf, lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10501
b4488_2,0.191812149879,ilvG_2,"acetolactate synthase II, large subunit, C-ter fragment (pseudogene)","ilvL, ilvX, ilvG_1, ilvG_2, ilvM, ilvE, ilvD, ilvA","ihf, lrp",False,
b4488_1,0.175042808633,ilvG_1,"acetolactate synthase II, large subunit, N-ter fragment (pseudogene)","ilvL, ilvX, ilvG_1, ilvG_2, ilvM, ilvE, ilvD, ilvA","ihf, lrp",False,
b3771,0.14618997286,ilvD,dihydroxy acid dehydratase,"ilvL, ilvX, ilvG_1, ilvG_2, ilvM, ilvE, ilvD, ilvA","Sigma70, ihf, lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10496
b3772,0.14609431455,ilvA,threonine deaminase,"ilvL, ilvX, ilvG_1, ilvG_2, ilvM, ilvE, ilvD, ilvA","Sigma70, ihf, lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10493
b0003,0.13754977127499998,thrB,homoserine kinase,"thrL, thrA, thrB, thrC","Sigma70, arcA, crp, fnr, lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10999
b3770,0.135232979628,ilvE,branched-chain amino-acid aminotransferase,"ilvL, ilvX, ilvG_1, ilvG_2, ilvM, ilvE, ilvD, ilvA","Sigma70, ihf, lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10497
b0004,0.134220744954,thrC,threonine synthase,"thrL, thrA, thrB, thrC","Sigma70, arcA, crp, fnr, lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11000
b3774,0.13098752196799998,ilvC,acetohydroxy acid isomeroreductase,ilvC,"Sigma70, gcvB, ilvY",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10495
b0074,0.124967993407,leuA,2-isopropylmalate synthase,"leuL, leuA, leuB, leuC, leuD","Sigma70, arcA, leuO, lrp, nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11226
b0073,0.12070393439000004,leuB,3-isopropylmalate dehydrogenase,"leuL, leuA, leuB, leuC, leuD","Sigma70, arcA, leuO, lrp, nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11577
b0072,0.120176569946,leuC,LeuC,"leuL, leuA, leuB, leuC, leuD","Sigma70, arcA, leuO, lrp, nac, yeiE",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11576
b0071,0.117260503614,leuD,LeuD,"leuL, leuA, leuB, leuC, leuD","Sigma70, arcA, leuO, lrp, nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11575
b0005,0.09647342540860004,yaaX,putative protein,yaaX,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6081
