,A,trcR,whiB4,Rv1776c
R2,,0.12404003208394876,0.08665620725331658,0.02464284060859734
xmin,,-3.0868636197,-2.8338575925000002,-4.0053163404
xmid,,0.18719805083481733,0.67516577501448,
xmax,,3.0921139837,2.9839660519,2.9926371777
ystart,,-0.062271510040726175,0.45919913740147233,4.794259791962649
yend,,11.700623995403731,15.620937007932195,-2.4363637068190434
AX:AX_10_MIC:1,1.5762919728,0.19755871660000002,0.23128037340000002,0.4562606302
AX:AX_10_MIC:2,1.4233427532,0.0949060079,0.3081656839,0.3429211515
AX:AX_30_MIC:1,2.0214798683,0.4202060406,0.1287653623,0.4796383482
AX:AX_30_MIC:2,1.7511320804000001,0.061754485000000005,0.3142531538,0.29673076200000004
AX:QZ_10_MIC:1,1.8784952682,0.3645463759,0.2309327669,0.4180682241
AX:QZ_10_MIC:2,1.6221788695,0.0758824064,0.2738506978,0.27867191680000003
AX:QZ_30_MIC:1,2.3361778386,0.1544000944,0.0797832341,0.562271089
AX:QZ_30_MIC:2,2.0828865182,0.25833708580000003,0.10801114090000001,0.3284921959
AX:wt:1,0.8260658368,0.1604669306,0.1309597076,0.0812570353
AX:wt:2,-0.8260658368,-0.1604669306,-0.1309597076,-0.0812570353
ITM_04:00h_clinic_ctrl:1,3.8868002374,0.629085199,-0.0549835069,-0.18787955990000002
ITM_04:00h_clinic_ctrl:2,3.4087911501,0.5944195828000001,-0.17211430590000001,-0.2255917912
ITM_04:00h_h37rv_control:1,-0.6314021883000001,-0.071037362,-0.0978090488,-0.0884106711
ITM_04:00h_h37rv_control:2,0.060979922400000004,-0.002855935,-0.0269096698,0.0042296459000000005
ITM_04:00h_h37rv_control:3,0.5704222659,0.0738932971,0.1247187186,0.0841810253
ITM_04:06h_clinic_delam:1,1.5800775336,0.8650383896,-0.7631591471,1.1711430873
ITM_04:06h_clinic_delam:2,0.5409818271,0.8179102188,-0.8938424622000001,1.1439911768
ITM_04:06h_clinic_delam:3,0.0587770174,0.8593597007,-0.6334991198000001,1.3366961018
ITM_04:06h_clinic_DMSO:1,3.5143806577,0.30452009550000003,-0.438156111,-0.2098960469
ITM_04:06h_clinic_DMSO:2,3.7032395232,0.6545364108,-0.278265505,-0.0650683724
ITM_04:06h_clinic_DMSO:3,3.5653307691,0.5742472139,-0.4577993011,-0.0691405606
ITM_04:06h_h37rv_delam:1,0.287332621,0.7418048669,-0.24567028130000002,1.5769642157
ITM_04:06h_h37rv_delam:2,1.167317391,0.6104272212,-0.38611053160000003,1.694816496
ITM_04:06h_h37rv_delam:3,0.5407286052,0.38824823550000004,-0.3013259803,1.5813833339
ITM_04:06h_h37rv_DMSO:1,1.9441570607,0.47490880010000003,-0.6180494082,-0.1270944907
ITM_04:06h_h37rv_DMSO:2,2.2667657367,0.3492327564,-0.33819380330000004,-0.08635452960000001
ITM_04:06h_h37rv_DMSO:3,2.0966682486,0.5955317466,-0.1647550437,0.0854312745
ITM_04:24h_clinic_delam:1,2.1449791564,1.0198791081,-0.3908796975,0.7758733158000001
ITM_04:24h_clinic_delam:2,3.2017128581,1.0040174123,-0.28630188300000003,0.6377300919000001
ITM_04:24h_clinic_delam:3,2.762446461,1.054974189,-0.6136113873,0.31879068180000003
ITM_04:24h_clinic_DMSO:1,3.2761948659,0.5882572616,-0.0752368971,-0.0501737214
ITM_04:24h_clinic_DMSO:2,3.2494559542,0.7466362511,-0.28406142830000003,-0.1657575741
ITM_04:24h_clinic_DMSO:3,3.4144310842,0.6972555133,-0.14462835470000002,-0.2306580474
ITM_04:24h_h37rv_delam:1,2.3063197487,0.7603847685,-0.1907200533,1.0375136818
ITM_04:24h_h37rv_delam:2,2.4364449866,0.9337776245,-0.1783513531,1.147255723
ITM_04:24h_h37rv_delam:3,2.477425923,0.8712912093,-0.115649445,1.2043790733
ITM_04:24h_h37rv_DMSO:1,1.4393981703,0.5592945181,-0.2928373435,-0.4090523331
ITM_04:24h_h37rv_DMSO:2,2.3367071024,0.3785197375,-0.3320693128,-0.40869503560000003
JSF:DMSO:1,-0.5042132085000001,-0.1005430621,-0.1376215524,-0.14376263720000002
JSF:DMSO:2,0.0354648513,0.1133876338,0.0470967378,0.0255209263
JSF:DMSO:3,0.14723777,-0.0835817202,0.0002360691,0.10155207270000001
JSF:DMSO:4,0.32151058720000003,0.0707371485,0.0902887455,0.0166896382
JSF:JSF_2019:1,-9.2047233317,-0.5946253218,-1.0699971448,0.3672457038
JSF:JSF_2019:2,-6.9434087049,-0.5656310227,-1.0190079243,0.50062688
JSF:JSF_2019:3,-9.0601492277,-0.5582225093000001,-1.0173068858,0.43816989770000003
JSF:JSF_2019:4,-9.2436755344,-0.5034972422,-1.1500019702,0.4594893319
JSF:JSF_2026:1,1.5820506069,-0.5736777657000001,-0.6177867091,0.0214519717
JSF:JSF_2026:2,2.7876152604,-0.4400731886,-0.7793247583,0.2682614045
JSF:JSF_2026:3,2.7487707013,-0.41299521980000004,-0.6563166691,0.2441837011
JSF:JSF_2026:4,2.1613591612,-0.6001478459,-0.7396799819000001,0.10653805420000001
MTS1338:over_expression:1,0.9347952983000001,0.2675429755,-0.3036202349,0.1697072885
MTS1338:over_expression:2,-0.9347952983000001,-0.2675429755,0.3036202349,-0.1697072885
PAS:control:1,0.1370404883,0.1030237044,-0.0943206229,0.22017086130000002
PAS:control:2,-0.053034892,-0.1260661486,-0.0118882721,-0.0435369028
PAS:control:3,-0.0840055963,0.0230424442,0.1062088949,-0.1766339585
PAS:treated:1,-0.11209792560000001,-0.8093659067000001,0.37153676680000003,1.03490019
PAS:treated:2,-0.1587291298,-0.6980754915,0.47095769940000004,1.0908248163
PAS:treated:3,0.2216420027,-1.0620504451,0.6000113337,1.3152031126
THP-1:24h_THP_B_enriched:1,-0.0793125112,-0.0091009833,0.3344215904,-0.2616447134
THP-1:24h_THP_B_enriched:2,0.0793125112,0.0091009833,-0.3344215904,0.2616447134
aminoimidazoles:02h_treated:1,8.769056248,0.5942015858,0.2136984945,-0.015511057100000001
aminoimidazoles:02h_treated:2,8.7809065966,0.5107762563,0.1369555071,-0.0061584888
aminoimidazoles:24h_treated:1,4.4555345642,0.6359771435,0.2017862812,0.8146287313
aminoimidazoles:24h_treated:2,4.5378832731,0.11888118240000001,-0.313406801,0.8743992078
aminoimidazoles:untreated:1,0.058056163,0.24547021460000001,0.0684377461,0.033125492900000005
aminoimidazoles:untreated:2,-0.1363038799,-0.3318428768,0.1199553715,0.0079244662
aminoimidazoles:untreated:3,0.0782477168,0.0863726622,-0.18839311760000002,-0.0410499592
antibiotic:ctrl_24h:1,0.2857164612,0.3261493742,0.2625269966,0.7182774635
antibiotic:ctrl_24h:2,0.2727372785,0.9314042521,-0.2915219892,0.10492964410000001
antibiotic:ctrl_24h:3,0.1197927981,-0.1121386614,0.1754643928,0.1543456966
antibiotic:ctrl_4h:1,0.16884241700000002,0.7117351423,0.1844539721,0.1264183808
antibiotic:ctrl_4h:2,0.2753319933,-0.3292172163,-0.1508071286,0.3406047454
antibiotic:ctrl_4h:3,-0.4441744103,-0.382517926,-0.0336468435,-0.4670231262
antibiotic:izd_4h:1,4.1437630439,2.2533614513,1.3301565606999999,-0.1001801549
antibiotic:izd_4h:2,4.7143089905,3.0921139837,1.4224593388,-0.568450259
base:wt_glu_24:1,-1.8565718898,0.7215190142,-0.3156512469,0.5171591406
base:wt_glu_24:2,-1.7456547042000001,0.8556063927,0.035263295300000004,0.7003450567
base:wt_glu_24:3,-1.3244066681,0.9751447832000001,0.1368631256,0.683628946
base:wt_glu_6:1,0.9326435390000001,0.060572983500000004,0.1435426319,0.3756948684
base:wt_glu_6:2,-0.6439886489000001,-0.20141028630000002,-0.0907105445,-0.4388071202
base:wt_glu_6:3,-0.2886548902,0.14083730290000002,-0.052832087400000005,0.0631122518
base:wt_llac_24:1,-0.1646549415,0.1253886781,0.2312223119,0.3437808638
base:wt_llac_24:2,-0.2347929182,0.5183649244,0.4890258012,0.20955601810000002
base:wt_llac_24:3,-0.9679295086,-0.8856207679,0.1008003563,0.0024142995
base:wt_llac_6:1,-0.4379467463,-0.1246982553,0.5156355441,0.1126097124
base:wt_llac_6:2,-0.7204290445,-1.1831994537,0.0934298564,-0.6494774144000001
base:wt_llac_6:3,-0.9659520038,-0.3064543381,-0.0213224012,-0.38632127320000004
base:wt_pyr_24:1,0.19145237280000002,0.2332149145,0.0287214116,0.54995865
base:wt_pyr_24:2,-0.6871056726,-0.2818557935,-0.6527443582,0.10592489520000001
base:wt_pyr_24:3,-0.9775809408,0.054560876300000005,-0.3599912286,0.40497046200000003
base:wt_pyr_6:1,-1.890717079,-1.2893537795,-0.3562272288,-0.4620861094
base:wt_pyr_6:2,-1.1042302991,-0.25001237390000003,0.35444489960000003,0.058346976200000004
base:wt_pyr_6:3,-1.4484873291,-0.6227561336,0.17656186610000002,-0.3253160846
biofilm:biofilm:1,2.4019010619,1.0032672594,0.2229174304,0.7647392850000001
biofilm:biofilm:2,2.3843137856,0.9950772445,0.3038375457,0.7556242956
biofilm:planktonic:1,0.10016862500000001,0.0766647369,0.025424137700000002,0.1686966699
biofilm:planktonic:2,-0.10016862500000001,-0.0766647369,-0.025424137700000002,-0.1686966699
btz043:0_days_.006:1,-0.09319835060000001,-0.0007531386000000001,0.1218697775,0.0848396129
btz043:0_days_.006:2,-0.309418472,-0.0153122167,0.25885207920000003,0.12801730220000002
btz043:0_days_.006:3,-0.0823672075,-0.1101395401,0.1916022127,-0.0837701109
btz043:0_days_control:1,-0.0757699089,-0.0228805602,-0.0333145381,0.0195836039
btz043:0_days_control:2,0.0996390392,0.057626187100000004,0.0341165381,-0.0981726764
btz043:0_days_control:3,-0.0238691303,-0.0347456269,-0.000802,0.07858907250000001
btz043:1_days_.006:1,-2.0480704493,-0.7638367219000001,-0.18779066290000002,0.10074844690000001
btz043:1_days_.006:2,-2.5155813813,-0.8705036292,-0.26227963730000003,-0.0015283086000000001
btz043:1_days_.006:3,-2.2536277472,-0.7839210728,-0.1795792009,-0.1429348896
btz043:1_days_.006:4,-1.8811414053000002,-0.7736886927000001,-0.0649672062,0.14791027980000002
btz043:1_days_control:1,-6.2335244614,-0.9294712283000001,0.0129176264,0.0897851925
btz043:1_days_control:2,-6.5035572229,-0.8215498360000001,0.0406213722,0.0671706286
btz043:1_days_control:3,-6.0620380634,-0.6671553445,0.045493569000000005,0.1460043212
btz043:1_days_control:4,-6.3280255008,-0.9230246986,-0.0223102757,0.0177827197
clarithromycin:1_days_control:1,-0.1131180298,-0.1204212721,-0.0769830463,0.059156135900000004
clarithromycin:1_days_control:2,-0.013062946700000001,0.16843578280000002,0.0538248528,0.1120748404
clarithromycin:1_days_control:3,0.1261809765,-0.0480145107,0.0231581935,-0.1712309763
cnpB:del:1,-1.5068941837,0.1068265048,0.11127277390000001,-0.29300496330000003
cnpB:del:2,-0.9930940323,0.11140176210000001,0.256080686,0.16211382570000002
cnpB:del:3,-1.4992260559,-0.3655239772,-0.09737164520000001,-0.047425860300000004
cnpB:wt:1,-0.1753658434,0.031557030300000004,-0.1083070264,-0.1468143659
cnpB:wt:2,-0.4311652529,0.2236855315,0.1481063719,0.33917909420000003
cnpB:wt:3,0.6065310963,-0.2552425618,-0.0397993455,-0.19236472840000002
csoR:ko:1,-5.4176266738,0.3620356675,0.2966122858,-0.31143683780000003
csoR:ko:2,-5.4934527899,0.3925415195,0.1194533747,-0.38428604320000004
csoR:wt:1,-0.9315327210000001,-0.6090862782,-0.1665335362,-0.1720496736
csoR:wt:2,0.9315327210000001,0.6090862782,0.1665335362,0.1720496736
dap:0_days_25:1,0.3457543115,0.0092669959,0.1854338778,0.041250966
dap:0_days_25:2,0.4647414313,0.1006536153,0.1717509632,0.0335855896
dap:0_days_25:3,0.2556045001,-0.073166401,0.0650451508,0.103395868
dap:0_days_25:4,0.1209807586,0.1225207093,0.0189393448,-0.1419576053
dap:0_days_control:1,0.2962325661,0.2138944592,0.0272742646,-0.18720443380000001
dap:0_days_control:2,-0.25794178570000004,0.055540473400000005,-0.0715417067,0.062120804
dap:0_days_control:3,-0.0047328124000000004,-0.24001121620000002,0.0908714042,0.07980544290000001
dap:0_days_control:4,-0.033557968,-0.029423716500000002,-0.0466039621,0.0452781869
dap:1_days_25:1,-0.2200184389,-0.39551024960000003,0.28739369670000003,-0.0819481554
dap:1_days_25:2,-0.3434039814,-0.25783626260000003,0.2974874265,0.018450353000000003
dap:1_days_25:3,-0.18054948440000002,-0.4393938832,0.2851937748,0.0322808469
dap:1_days_25:4,-0.7334269728,-0.3731981333,0.0572041297,-0.0037805284
dap:1_days_control:1,-2.5343317038,-0.5146553534,-0.056758668500000005,-0.1759811139
dap:1_days_control:2,-2.2965827388,-0.5322498965,0.0092934622,-0.16964354580000002
dap:1_days_control:3,-2.4912955741,-0.3877798152,0.05207615,-0.0421869104
dap:1_days_control:4,-1.9675064849,-0.4032179987,-0.0064268647,-0.08423556730000001
degradosome:mutant_rnj:1,1.3574482032000001,0.26805595600000004,-0.6225413434,-0.8495240304
degradosome:mutant_rnj:2,1.4644549158,0.2255293485,-0.7724139044,-0.4693351177
degradosome:mutant_rnj:3,1.9851733006,0.3189626123,-0.41645212200000004,-0.6408445862000001
degradosome:PNPase_ko:1,3.690831855,0.10987137870000001,0.5072878209,0.1042388291
degradosome:PNPase_ko:2,3.7448083378,0.1479014686,0.4572301662,0.5174896317000001
degradosome:PNPase_ko:3,3.9475333545,0.27766492930000003,0.3378645111,0.41962352150000004
degradosome:Rnase_E_ko:1,-1.7756461571000002,-1.049354191,-2.4702638193,-4.0053163404
degradosome:Rnase_E_ko:2,-0.2987063193,-1.0324993638,-2.4250774222,-2.2296443544
degradosome:Rnase_E_ko:3,-1.7678568801,-1.9236427421000002,-2.8338575925000002,-2.9452259911
degradosome:wt_cas9_ctrl:1,-1.7259074607,1.2124840128,-0.062160549600000004,-1.7463218736
